"TID","TH"
"TID_CAPITAL_PLAYGROUND_FROST_2","ร่าย<c38eaff>อาคมน้ำแข็ง</c>ที่นี่เพื่อให้ท่านสามารถโจมตีการป้องกันของศัตรูจากด้านหลังได้"
"TID_CAPITAL_PLAYGROUND_GATES","หน่วยป้องกันไม่สามารถกระโดดเข้าไปในเมืองหลวง แต่สามารถเดินผ่านประตูแทนได้"
"TID_CAPITAL_PLAYGROUND_GATES_2","สำหรับผู้โจมตี ประตูทำงานในลักษณะเดียวกันกับกำแพง"
"TID_CAPITAL_PLAYGROUND_GATES_3","<cf70d16>ซูเปอร์ยักษ์</c>ผู้น่าสงสารถูกขังอยู่ในช่องของพวกเขา"
"TID_CAPITAL_PLAYGROUND_GATES_4","พวกเขาเป็นเป้าหมายแสนง่ายสำหรับหน่วยระยะไกลของท่าน"
"TID_CAPITAL_PLAYGROUND_INTRO","เพื่อนร่วมแคลนของท่านได้โจมตีเขตนี้ไปแล้ว มาสานต่อการโจมตีของเขากัน!"
"TID_CAPITAL_PLAYGROUND_INTRO_2","พวกเขาสร้างความเสียหายและทำลายสิ่งก่อสร้างไปบางส่วน รวมถึงได้ทิ้ง<cffe346>อาคมเยียวยา</c>ไว้ให้"
"TID_CAPITAL_PLAYGROUND_JUMP","สามารถใช้<c85ff3b>อาคมกระโดด</c>เพื่อกระโดดข้ามกำแพง แม่น้ำ และชายฝั่งได้"
"TID_CAPITAL_PLAYGROUND_JUMP_2","นอกจากนี้ <c85ff3b>อาคมกระโดด</c>ยังช่วยขยายพื้นที่ส่งกองกำลัง ร่ายอาคมตรงนี้"
"TID_CAPITAL_PLAYGROUND_JUMP_3","ไม่สามารถใช้<c85ff3b>อาคมกระโดด</c>เพื่อกระโดดข้ามหน้าผาหรือน่านน้ำเปิดได้"
"TID_CAPITAL_PLAYGROUND_SNEAKY_ARCHERS","ส่ง<c54a0fe>พลธนูเร้นกาย</c>เพื่อทำลาย<cf70d16>ปืนใหญ่หลายลำกล้อง</c>ที่อยู่หลังกำแพง"
"TID_CAPITAL_PLAYGROUND_SPELL_EXPLANATION","อาคมจะไม่มีตัวจับเวลาในเมืองหลวง"
"TID_CAPITAL_PLAYGROUND_SPELL_EXPLANATION_2","อาคมจะมีผลตลอดการโจมตีและมีผลต่อเนื่องจนถึงผู้โจมตีคนต่อไป หลังจากนั้นอาคมจึงจะหาย"
"TID_CAPITAL_PLAYGROUND_SUPER_BARBARIANS","ส่ง<c54a0fe>ซูเปอร์คนเถื่อน</c>เพื่อทำลายสิ่งก่อสร้างบางส่วน"
"TID_CAPITAL_PLAYGROUND_SUPER_GIANTS","ส่ง<c54a0fe>ซูเปอร์ยักษ์</c>เพื่อรับความเสียหาย"
"TID_CAPITAL_PLAYGROUND_SUPER_GIANTS_2","เสริมการโจมตีเพิ่มบางส่วนด้วย<c54a0fe>ซูเปอร์ยักษ์</c>"
"TID_CAPITAL_PLAYGROUND_SUPER_WIZARDS","ส่ง<c54a0fe>ซูเปอร์พ่อมด</c>เพื่อทำลาย<cf70d16>เครื่องยิงหอก</c>และ<cf70d16>หอคอยระเบิด</c>ที่อยู่หลังกำแพง"
"TID_CAPITAL_PLAYGROUND_SUPER_WIZARDS_2","<c54a0fe>ซูเปอร์พ่อมด</c>มีระยะโจมตีสั้นกว่า<c54a0fe>พลธนูเร้นกาย</c>เล็กน้อย"
"TID_CAPITAL_PLAYGROUND_WALL_EXPLANATION","กองกำลังภาคพื้นดินไม่สามารถเดินรอบกำแพงที่เชื่อมต่อกับคูน้ำ หน้าผา หรือริมขอบของเขตนั้นได้"
"TID_CAPITAL_PLAYGROUND_WALL_EXPLANATION_2","ซึ่งเป็นสาเหตุว่าทำไมพวกเขาต้องทำลายกำแพงเพื่อเข้าถึง<cf70d16>ปืนใหญ่</c>"
"TID_CAPITAL_RAID_ALL_ATTACKS_USED","ท่านไม่มีการโจมตีเหลือแล้ว"
"TID_CAPITAL_RAID_AMOUNT_ATTACKS","จำนวนการโจมตี: <number>"
"TID_CAPITAL_RAID_ATTACKER_LEFT_THE_CLAN","ท่านได้โจมตีกับแคลนอื่นแล้ว"
"TID_CAPITAL_RAID_ATTACK_FAILED","โจมตึเขตล้มเหลว"
"TID_CAPITAL_RAID_DEFENSE_MEDALS_ALT_GEMS_RECEIVED","ท่านได้รับอัญมณี <num> เม็ดจากรางวัลการตั้งรับในสุดสัปดาห์ปล้นสะดมเมืองหลวง"
"TID_CAPITAL_RAID_DEFENSIVE_REWARD","รางวัลป้องกัน: <number>"
"TID_CAPITAL_RAID_DISTRICT_ALREADY_DESTROYED","เขตถูกทำลายแล้ว"
"TID_CAPITAL_RAID_DISTRICT_STILL_LOCKED","ท่านยังไม่สามารถโจมตีเขตนี้ได้"
"TID_CAPITAL_RAID_INVALID_TARGET","ท่านไม่สามารถโจมตีเขตนี้ได้"
"TID_CAPITAL_RAID_NOTWEEKEND_STARTED_NOTIFICATION","ได้เวลาปล้นสะดม! โจมตีเมืองหลวงของแคลนศัตรูและรับชัยชนะ"
"TID_CAPITAL_RAID_OFFENSE_MEDALS_ALT_GEMS_RECEIVED","ท่านได้รับอัญมณี <num> เม็ดจากรางวัลการบุกในสุดสัปดาห์ปล้นสะดมเมืองหลวง"
"TID_CAPITAL_RAID_OFFENSIVE_REWARD","รางวัลโจมตี: <number>"
"TID_CAPITAL_RAID_PERSONAL_BREAK","พักผ่อนส่วนตัว"
"TID_CAPITAL_RAID_RECENT_PROGRESS","ความคืบหน้าล่าสุด:"
"TID_CAPITAL_RAID_SEASON_FULL","แคลนของท่านมีจำนวนสมาชิกสูงสุดในสุดสัปดาห์ปล้นสะดมครั้งนี้แล้ว"
"TID_CAPITAL_RAID_SEASON_REWARD","ท่านได้รับเหรียญปล้นสะดม <num> เหรียญจากสุดสัปดาห์ปล้นสะดม"
"TID_CAPITAL_RAID_SNAPSHOT_NOT_AVAILABLE","เอาชนะเขตล้มเหลว"
"TID_CAPITAL_RAID_TARGET_UNDER_ATTACK","เขตถูกโจมตีอยู่แล้ว"
"TID_CAPITAL_RAID_VISIT_FAILED","สอดแนมเขตล้มเหลว"
"TID_CAPITAL_RAID_VISIT_INVALID_TARGET","ท่านไม่สามารถสอดแนมเขตนี้ได้"
"TID_CAPITAL_RAID_WEEKEND_ENDSOON_NOTIFICATION","สุดสัปดาห์ปล้นสะดมจะจบลงเร็วๆ นี้! จบการโจมตีของท่านให้ครบ!"
"TID_CAPITAL_RAID__WEEKEND_STARTED_NOTIFICATION","สุดสัปดาห์ปล้นสะดมได้เริ่มต้นแล้ว! โจมตีเมืองหลวงของแคลนศัตรูและรับชัยชนะ"
"TID_CAPITAL_RESOURCE","ทองคำเมืองหลวง"
"TID_CAPITAL_RESOURCE_FULL","คลังไม่เพียงพอ!"
"TID_CAPITAL_REWARD","เหรียญปล้นสะดม"
"TID_CAPITAL_REWARD_END_BATTLE","เพิ่มเหรียญปล้นสะดมเข้าไปในหีบเมืองหลวงแคลนแล้ว"
"TID_CAPITAL_REWARD_FULL","คลังไม่เพียงพอ!"
"TID_CAPITAL_SHOP_CONFIRM_TEXT","ซื้อ <item> เป็นจำนวน <num> หรือไม่?"
"TID_CAPITAL_SHOP_CONFIRM_TITLE","ซื้อหรือไม่?"
"TID_CAPITAL_SHOP_RESOURCE_CONFIRM_TEXT","ซื้อ <item> เป็นจำนวน <num> หรือไม่?"
"TID_CAPITAL_SPELL_DURATION","ระยะเวลา:"
"TID_CAPITAL_SPELL_DURATION_ATTACKS","โจมตี <num> ครั้ง"
"TID_CAPITAL_TUTORIAL_1","ท่านหัวหน้า มีคนรอคุยกับท่านอยู่ เขาค่อนข้าง... หยาบคายเสียด้วย"
"TID_CAPITAL_TUTORIAL_10","แต่มีเขตหนึ่งที่ฉันชอบ..."
"TID_CAPITAL_TUTORIAL_11","ลองไปเยือนดูสิและดูว่าท่านจะช่วยอะไรได้บ้าง?"
"TID_CAPITAL_TUTORIAL_2","ทำไมทุกอย่างที่นี่ดูเล็กจัง? นี่คือหมู่บ้านสำหรับมดหรือเปล่า?"
"TID_CAPITAL_TUTORIAL_3","โอ้ ในที่สุด มาให้ไวเลย มีเรื่องมากมายที่ต้องทำในเวลาน้อยนิด รีบเลย"
"TID_CAPITAL_TUTORIAL_4","นี่คือสิ่งก่อสร้างที่มีขนาดที่ \qถูกต้อง\q จงดู ภูเขาลูกนี้คือเมืองหลวงของแคลนท่าน!"
"TID_CAPITAL_TUTORIAL_5","แคลนที่ยอดเยี่ยมทั้งหมดต่างช่วยกันสร้างและต่อสู้ร่วมกัน นี่คือคำใบ้จากชายชราผู้ปราดเปรื่อง"
"TID_CAPITAL_TUTORIAL_6","เริ่มจากด้านบนเลยดีไหม?"
"TID_CAPITAL_TUTORIAL_7","ยอดเมืองหลวงมีทุกสิ่งที่ท่านต้องการ น้ำพุร้อน กระท่อมแสนสะดวกสบาย และศาลาว่าการเมืองหลวง"
"TID_CAPITAL_TUTORIAL_8","ยิ่งท่านสร้างศาลาว่าการเมืองหลวงให้แข็งแกร่งมากเท่าใด ท่านก็จะปลดล็อคเขตให้ท่านสร้างได้มากขึ้นเท่านั้น"
"TID_CAPITAL_TUTORIAL_9","แต่ละเขตจะมีสิ่งก่อสร้างและภูมิประเทศที่ต่างกันออกไป ซึ่งจะเป็นประโยชน์ต่อการสร้างความแข็งแกร่งให้กับเมืองหลวงของท่าน"
"TID_CAPITAL_UNIT_HOME","ปลดล็อคและอัปเกรด<name>"
"TID_CAPITAL_UPGRADES","การอัปเกรดเมืองหลวง"
"TID_CAPITAL_UPGRADE_DEPRIORITIZE","จัดลำดับหลัง"
"TID_CAPITAL_UPGRADE_PRIORITIZE","จัดลำดับก่อน"
"TID_CAPITAL_VISIT_DISTRICT_FAILED","ไปเยี่ยมเมืองหลวงแคลนล้มเหลว"
"TID_CAPITAL_VISIT_OWN_CAPITAL_FAILED","เข้าเมืองหลวงแคลนล้มเหลว"
"TID_CASTLE_FULL","ปราสาทเต็มแล้ว"
"TID_CAULDRON_REWARD_INFO1","ของตกแต่ง: หม้อปรุงน้ำอมฤตหมัก"
"TID_CAULDRON_REWARD_INFO2","เมื่ออีเวนท์นี้สิ้นสุด ท่านจะได้รับหม้อปรุงน้ำอมฤตหมักเป็นของตกแต่ง"
"TID_CHALLENGES_HUB_TEXT","ดู<cffcc33>ความท้าทาย</c>เพื่อวางแผนขั้นต่อไปของท่าน"
"TID_CHALLENGE_ALREADY_CLOSED","การท้าปิดลงแล้ว"
"TID_CHALLENGE_ATTACK_CODE","รหัสการโจมตี:"
"TID_CHALLENGE_ATTACK_CODE_HINT","ท้าทายเพื่อนให้มาโจมตีหมู่บ้านของท่านด้วยรหัสนี้! เพื่อน Clash ของท่านสามารถรับคำท้านี้โดยตรงได้จากรายชื่อเพื่อนของพวกเขาได้ด้วย"
"TID_CHALLENGE_BUTTON","ท้าทาย"
"TID_CHALLENGE_CANCELLED","การท้าไม่สามารถใช้ได้อีกแล้ว!"
"TID_CHALLENGE_CANT_REQUEST","เข้าร่วมแคลนเพื่อขอรับกองกำลังปราสาทแคลน อาคม และเครื่องจักรถล่มเมือง"
"TID_CHALLENGE_CASTLE_EMPTY","ปราสาทแคลนของท่านว่างเปล่า!"
"TID_CHALLENGE_CHANGE_LAYOUT","เปลี่ยนผัง"
"TID_CHALLENGE_CHANGE_LAYOUT_BUTTON","เปลี่ยน"
"TID_CHALLENGE_CHOOSE_LAYOUT","เลือกผัง"
"TID_CHALLENGE_CHOOSE_NEW_LAYOUT","เลือกผังการท้าใหม่"
"TID_CHALLENGE_CLOSED","หมู่บ้านถูกโจมตีอยู่แล้ว!"
"TID_CHALLENGE_COMPLETED","เสร็จสิ้นแล้ว!"
"TID_CHALLENGE_DEFAULT_INPUT","ท่านเอาชนะหมู่บ้านข้าได้ไหม?"
"TID_CHALLENGE_EVENT_ENDED","อีเวนท์ความท้าทายได้จบลงแล้ว"
"TID_CHALLENGE_FAIL_RESTRICTED","ไม่สามารถเริ่มความท้าทายได้"
"TID_CHALLENGE_FAIL_SERVER","ไม่สามารถเริ่มการท้าได้ โปรดลองอีกครั้ง!"
"TID_CHALLENGE_FAIL_SERVER_ALREADY_IN_PROGRESS","ไม่สามารถเริ่มการท้าได้! การท้าครั้งก่อนยังดำเนินอยู่!"
"TID_CHALLENGE_FRIEND_CONTENT","ท้าทายเพื่อนให้มาโจมตีหมู่บ้านของท่าน"
"TID_CHALLENGE_FRIEND_TITLE","ท้าทายเพื่อน"
"TID_CHALLENGE_HEADER","ท้าสมาชิกแคลนท่านให้มาโจมตีหมู่บ้านท่าน"
"TID_CHALLENGE_INFO_2012","Clash of Clans เปิดตัวทั่วโลกและความสนุกก็เริ่มต้นขึ้น!"
"TID_CHALLENGE_INFO_2013","ผู้กล้า กองกำลังน้ำอมฤตมืดหน่วยแรก และศาลากลาง 10 มายังเกมแล้ว!"
"TID_CHALLENGE_INFO_2014","แคลนสามารถปะทะกันได้ในสงครามแคลน ผู้กล้าได้รับความสามารถ และสุนัขลาวาเข้าร่วมสงคราม"
"TID_CHALLENGE_INFO_2015","ผู้คุมยิ่งใหญ่มาพร้อมกับศาลากลาง 11 อาคมมืดอันแรกมาเยือน อยู่ดีๆ ศาลากลางก็ย้ายเข้ามาข้างในฐาน..."
"TID_CHALLENGE_INFO_2016","โลกของ Clash ขยายใหญ่ขึ้นจากการเปิดตัว Clash Royale มีการเพิ่มการท้าและสงครามฉันมิตร รวมทั้งนักขว้างหิน คนงานเหมือง และมังกรน้อยก็ปรากฏตัวในเกม"
"TID_CHALLENGE_INFO_2017","ค้นพบฐานช่างก่อสร้างอีกฝากของโพ้นทะเล มนุษย์จอมพลังปรากฏตัวพร้อมเกมแคลนครั้งแรกและไอเทมเวทมนตร์"
"TID_CHALLENGE_INFO_2018","ศาลากลาง 12 และมังกรไฟฟ้ามาช่วยเพิ่มความน่าตื่นตาตื่นใจ นอกจากนี้ยังมีเครื่องจักรถล่มเมือง ลีกสงครามแคลน และพ่อค้ามาสร้างความแปลกใหม่อีกด้วย"
"TID_CHALLENGE_INFO_2019","เริ่มต้นปีกันด้วยความท้าทายประจำฤดูกาลและสกินผู้กล้า รวมทั้งหอช่างก่อสร้าง 9 และลีกตำนานปรับปรุงใหม่ที่เผยโฉมช่วงกลางปี นอกจากนี้ยังมีศาลากลาง 13 ยอดนักรบหลวง และเยติปรากฏตัวในช่วงท้ายปีอีกด้วย"
"TID_CHALLENGE_INFO_2020","ซูเปอร์กองกำลังมายังเกมเพื่อเพิ่มพลังใหม่และผมสุดสลวยให้กับกองกำลังดั้งเดิม นอกจากนี้ยังมีนักล่าค่าหัว เครื่องยิงเดอะล็อก และอาคมล่องหนมาเสริมการเล่นใหม่ๆ ในเกม"
"TID_CHALLENGE_INFO_2021","ศาลากลาง 14 ประกาศศักดาในพงไพร ผู้กล้ามีสัตว์เลี้ยงเป็นเพื่อนคู่ใจและเพิ่มพลังการโจมตี! นักขี่มังกรและเครื่องยิงลูกไฟช่วยทำให้เกมร้อนแรงยิ่งกว่าเดิม"
"TID_CHALLENGE_INFO_2022","ค้นพบเมืองหลวงแคลนอยู่เหนือเมฆที่ซึ่งแคลนสามารถสร้างและต่อสู้ด้วยกัน! สิบปีแรกผ่านไปแล้วและจะมีสิ่งใดเปลี่ยนแปลงไปบ้างในสิบปีข้างหน้า?"
"TID_CHALLENGE_LAYOUT","ผัง"
"TID_CHALLENGE_NOT_AVAILABLE_IN_MODE","กลับบ้านเพื่อเริ่มการท้าฉันมิตร!"
"TID_CHALLENGE_NOT_AVAILABLE_IN_MODE_ATTACK","กลับบ้านเพื่อโจมตี!"
"TID_CHALLENGE_NOT_AVAILABLE_IN_MODE_CANCEL","กลับบ้านเพื่อยกเลิกคำท้า!"
"TID_CHALLENGE_NOT_AVAILABLE_IN_MODE_LIVE","กลับบ้านเพื่อชมสด!"
"TID_CHALLENGE_NOT_AVAILABLE_IN_MODE_REPLAY","กลับบ้านเพื่อชมการรีเพลย์!"
"TID_CHALLENGE_NOT_AVAILABLE_IN_MODE_SCOUT","กลับบ้านเพื่อสอดแนม!"
"TID_CHALLENGE_NOT_AVAILABLE_NO_ARMY","ไปให้ถึงศาลาว่าการเมืองหลวงเลเวล 2 เพื่อส่งความท้าทายปล้นสะดมฉันมิตร!"
"TID_CHALLENGE_NOT_AVAILABLE_RAID_SEASON","ความท้าทายปล้นสะดมฉันมิตรไม่สามารถเล่นได้ระหว่างสุดสัปดาห์ปล้นสะดม"
"TID_CHALLENGE_PROGRESS","ความคืบหน้าความท้าทาย"
"TID_CHALLENGE_START_FAILED","ไม่สามารถเริ่มความท้าทายได้"
"TID_CHALLENGE_SWITCH_LAYOUT","ผังที่เลือก"
"TID_CHALLENGE_TH10_BOBAT","โบว์ลิ่งกับค้างคาว"
"TID_CHALLENGE_TH10_MINER","ภารกิจคนงานเหมือง"
"TID_CHALLENGE_TH11_EDRAG","โจมตีสายฟ้าแลบ"
"TID_CHALLENGE_TH11_LAVALOON","อภิมหาลาวาลูน"
"TID_CHALLENGE_TH12_BOWIGI","โบว์ลิ่งกับแม่มด"
"TID_CHALLENGE_TH12_DRAGBAT","การโจมตีจากฟากฟ้า"
"TID_CHALLENGE_TH12_YETI","เยติทุบแหลก"
"TID_CHALLENGE_TH13_HYBRID","อภินิหารแหวนหายนะ"
"TID_CHALLENGE_TH4_GIANT","ยักษ์ฟาดเรียบ"
"TID_CHALLENGE_TH5_LOON","ขบวนบอลลูน"
"TID_CHALLENGE_TH6_GIWIWA","โล่มนุษย์"
"TID_CHALLENGE_TH7_DRAGON","ของร้อนๆ"
"TID_CHALLENGE_TH7_HOG","หมูป่าเร่งรีบ"
"TID_CHALLENGE_TH7_MINION","ความช่วยเหลือทางอากาศ"
"TID_CHALLENGE_TH8_GOWIPE","คนมือหนัก"
"TID_CHALLENGE_TH8_GOWIVA","พลังหมุนติ้ว"
"TID_CHALLENGE_TH9_BABYDQW","มังกรน้อยพิโรธ"
"TID_CHALLENGE_TH9_LAVALOON","ลาวาลูน"
"TID_CHALLENGE_TH9_WITCH","แม่มดตบผัวะ!"
"TID_CHALLENGE_TITLE","การท้าฉันมิตร"
"TID_CHALLENGE_TITLE_HARD_MODE","โหมดยาก"
"TID_CHALLENGE_WAITING_TO_JOIN_LIVE","ชมรีเพลย์สดเพื่อดูว่าเพื่อนของท่านกำลังทำอะไรอยู่หรือไม่?"
"TID_CHALLENGE_WAIT_HEADER","รอให้เพื่อนร่วมแคลนมาโจมตี!"
"TID_CHALLENGE_WAIT_TITLE","การท้าฉันมิตร"
"TID_CHALLENGE_WAS_ACCEPTED","การท้าฉันมิตรได้รับการตอบตกลง!"
"TID_CHANGE_HEROES","เปลี่ยนผู้กล้า"
"TID_CHANGE_LEAGUE_WAR_PARTICIPANTS","เปลี่ยนผู้เข้าร่วมสงคราม"
"TID_CHANGE_NAME_ALREADY_USED","ไม่สามารถเปลี่ยนชื่อได้! การเปลี่ยนชื่อหนึ่งครั้งได้ใช้ไปแล้วในบัญชีนี้"
"TID_CHANGE_NAME_BUTTON","เปลี่ยนชื่อ"
"TID_CHANGE_NAME_TITLE","เปลี่ยนชื่อ"
"TID_CHANGE_TROOPS","เปลี่ยนกองกำลัง"
"TID_CHARACTER_APPRENTICE_WARDEN","ผู้คุมฝึกหัด"
"TID_CHARACTER_APPRENTICE_WARDEN_INFO","ถึงแม้ผู้คุมฝึกหัดจะมีความทะเยอทะยานอันยิ่งใหญ่ แต่เขาก็ยังเป็นเพียงแค่นักเรียนเท่านั้น เขาสามารถสนับสนุนกองกำลังด้วยออร่าชีวิตที่ดูต้องมนตร์และหนังสติ๊กที่ดูไม่ค่อยต้องมนตร์สักเท่าไหร่"
"TID_CHARACTER_BABY_DRAGON_ACTIVE","เพลิงฮัดเช่ย"
"TID_CHARACTER_BABY_DRAGON_ACTIVE_INFO","จามออกมาเป็นไฟในทรงรูปโคน สร้างความเสียหาย <num> หน่วยเมื่อเปิดใช้"
"TID_CHARACTER_BABY_ELECTRO_DRAGON","มังกรไฟฟ้าน้อย"
"TID_CHARACTER_BARCHER","พลธนูคนเถื่อน"
"TID_CHARACTER_BATTLE_DRUID",
"TID_CHARACTER_BATTLE_DRUID_INFO",
"TID_CHARACTER_BIG_BOY","โครงกระดูกยักษ์"
"TID_CHARACTER_CANNON_CART_ACTIVE_INFO","สับเปลี่ยนระหว่างโหมดรถเข็นกับโหมดปืนครกเมื่อเปิดใช้"
"TID_CHARACTER_CHAIN_HEAL_DRUID",
"TID_CHARACTER_CHAIN_HEAL_DRUID_INFO",
"TID_CHARACTER_CHANGE_MODE_ACTIVE","เปลี่ยนโหมด"
"TID_CHARACTER_COOKIE_PEKKA","C.O.O.K.I.E"
"TID_CHARACTER_COURIER","แม่มดน้อย"
"TID_CHARACTER_COURIERSPAWN","วิญญาณแม่มด"
"TID_CHARACTER_ELECTROFIRE_WIZARD_ACTIVE_INFO","สับเปลี่ยนระหว่างโหมดไฟและโหมดไฟฟ้าเมื่อเปิดใช้"
"TID_CHARACTER_ELECTRO_TITAN","ยักษ์ใหญ่ไฟฟ้า"
"TID_CHARACTER_ELECTRO_TITAN_INFO","เมื่อไม่อาจควบคุมพลังเวทมนตร์ที่ไม่ผ่านการฝึกฝนได้ ยักษ์ใหญ่ไฟฟ้าจึงเป็นกองกำลังที่น่าเกรงขามในสนามรบ เธอเปลี่ยนพลังเวทย์ของเธอให้กลายเป็นแส้ไฟฟ้าที่ทรงพลัง ในขณะที่ไฟฟ้าส่วนอื่นจะกระจายสร้างความเสียหายให้กับทุกสิ่งที่อยู่รอบตัว"
"TID_CHARACTER_ELITE_BARBARIAN","ซูเปอร์คนเถื่อน"
"TID_CHARACTER_ELITE_GIANT","ซูเปอร์ยักษ์"
"TID_CHARACTER_ELITE_GOBLIN","ก็อบลินลับลวง"
"TID_CHARACTER_ELITE_WALLBREAKER","ซูเปอร์นักระเบิดกำแพง"
"TID_CHARACTER_FIRECRACKER","พลธนูพลุไฟ"
"TID_CHARACTER_FIREMITE","ลูกไฟจิ๋ว"
"TID_CHARACTER_FREE_KICKER","คนเถื่อนนักเตะ"
"TID_CHARACTER_GIANT_ACTIVE","การ์ดนักมวย"
"TID_CHARACTER_GIANT_ACTIVE_INFO","บล็อคความเสียหายทั้งหมดเป็นเวลา <num> วินาทีเมื่อเปิดใช้"
"TID_CHARACTER_GRAVE_GOLEM","โกเล็มแม่มด"
"TID_CHARACTER_HASTY_BALLOON","บอลลูนจรวด"
"TID_CHARACTER_HEADHUNTER","นักล่าค่าหัว"
"TID_CHARACTER_HOGLESS_RIDER","ซูเปอร์คนขี่"
"TID_CHARACTER_HOGLESS_RIDER_INFO","คนขี่ที่ไร้หมูป่าก็ยังคงน่าเกรงขาม เขาฟาดค้อนแบบไม่ยั้งใส่เป้าหมายใดก็ได้ที่อยู่รอบตัว"
"TID_CHARACTER_HOG_WIZARD","พ่อมดขี่หมูป่า"
"TID_CHARACTER_ICE_SPIRIT","ฟรอสตี้จิ๋ว"
"TID_CHARACTER_ICE_SPIRIT_INFO","แม้จะเป็นบอลหิมะที่เย็นยะเยือก แต่เจ้าตัวน้อยพวกนี้หัวร้อนกว่าที่คิด พวกเขาจะกระโดดจากฟรอสตี้และกระโจนใส่การป้องกันที่อยู่ใกล้ที่สุดเพื่อมอบความหนาวสะท้านทรวง"
"TID_CHARACTER_INFERNO_DRAGON","มังกรเพลิงนรก"
"TID_CHARACTER_INFERNO_DRAGON_INFO","โดดเดี่ยวแต่ไม่เดียวดาย มังกรเพลิงนรกนำความเหงามาแปรเปลี่ยนเป็นลำแสงคลุ้มคลั่งทรงพลังที่เพิ่มความรุนแรงเมื่อเวลาผ่านไป!"
"TID_CHARACTER_INFO_AD_SEEKER_FRAG","จะออกมาเป็นครอกหลังจากสุนัขลาวาตาย สัตว์ตัวน้อยพวกนี้จะทำให้การสู้นานขึ้นอีกหน่อย"
"TID_CHARACTER_INFO_AD_SEEKER_NO_EXPLOSION","สัตว์ร้ายไฟลุกชอบไล่ตามการป้องกันทางอากาศ จึงป้องกันกองกำลังอื่นๆ ได้อย่างดีเยี่ยม เมื่อถูกทำลายแล้ว พวกมันก็จะเกิดเป็นตัวอันตรายเล็กๆ ที่อ่อนแอกว่า"
"TID_CHARACTER_INFO_AD_SEEKER_WITH_EXPLOSION","สัตว์ร้ายไฟลุกพวกนี้ไม่ยอมพลาดโอกาสไล่ตามการป้องกันทางอากาศ จึงป้องกันกองกำลังอื่นๆ ได้อย่างดีเยี่ยม เมื่อถูกทำลายแล้ว พวกมันก็จะระเบิดเป็นตัวอันตรายเล็กๆ ที่อ่อนแอกว่าจำนวนมาก"
"TID_CHARACTER_INFO_AD_SEEKER_WITH_EXPLOSION_SHORT","เบนความสนใจของการป้องกันทางอากาศด้วยนักรบสุนัขบินได้นี้"
"TID_CHARACTER_INFO_ARCHER","นักยิงธนูแม่นๆ พวกนี้ชอบซุ่มอยู่ห่างๆ ทั้งในการรบและในชีวิตจริง ไม่มีอะไรทำให้พวกเธอมีความสุขได้มากกว่าการจดจ่อกับการทลายเป้าหมายแล้ว"
"TID_CHARACTER_INFO_ARCHER_SHORT","พลธนูมือฉมังที่โจมตีจากระยะไกล"
"TID_CHARACTER_INFO_BABY_DRAGON2","น่ารักน่ากอด และชอบงอแงพ่นไฟ เป็นการอาละวาดทำลายล้างที่น่ารักที่สุดที่เคยมีมา"
"TID_CHARACTER_INFO_BABY_DRAGON2_SHORT","ไม่มีใครอยากไล่ลมให้มังกรน้อยอารมณ์บูดตัวนี้หรอก"
"TID_CHARACTER_INFO_BABY_ELECTRO_DRAGON","มังกรไฟฟ้าน้อยจะยิงชิ่งเป็นลูกโซ่เพียง 3 เป้าหมายเท่านั้น ถึงแม้จะไม่สร้างความเสียหายรุนแรง แต่มันไม่เชื่องช้า"
"TID_CHARACTER_INFO_BALLOON","โครงกระดูกที่เลื่อนขั้นแล้วพวกนี้ ได้แลกความสุขในการทำลายกำแพง มามีความสุขกับการทำลายการป้องกันแทน ใช้พวกเขาจัดการกับปืนครกและปืนใหญ่น่ารำคาญได้!"
"TID_CHARACTER_INFO_BALLOON_SHORT","กองกำลังอากาศแสนเปราะบางที่จะทิ้งระเบิดจากฟากฟ้าใส่การป้องกันให้เป็นจุล"
"TID_CHARACTER_INFO_BARBARIAN","นักรบผู้ไม่เคยหวาดหวั่นผู้นี้ใช้กล้ามโตๆ และหนวดงามๆ สร้างความวุ่นวายในหมู่บ้านของศัตรู ปล่อยฝูงคนเถื่อนลงไปแล้วสนุกกับความปั่นป่วนได้เลย!"
"TID_CHARACTER_INFO_BARBARIAN_SHORT","นักรบผู้โดดเด่นที่ทำลายการป้องกันด้วยดาบของเขา"
"TID_CHARACTER_INFO_BARCHER","ผสานความแกร่งดุดันไม่เกรงใจใครของคนเถื่อนเข้ากับความแรงจัดจ้านไม่เป็นรองใครของพลธนู ออกมาเป็นพลธนูคนเถื่อน นักโจมตีผู้เก่งกาจเกินคาดสวนทางกับหน้าตาที่ดูไม่ค่อยสู้ดีเท่าไหร่"
"TID_CHARACTER_INFO_BAT","ค้างคาวว่องไวอย่างน่าสะพรึง และอันตรายถึงตายเมื่อมาเป็นฝูง แต่ทำลายได้ง่ายด้วยความเสียหายแบบกระจาย"
"TID_CHARACTER_INFO_BATTLERAM","คนเถื่อนสี่คนแบกซุงใหญ่พุ่งมาทำลายเป้าหมาย เมื่อปะทะจะสร้างความเสียหายใหญ่หลวง จากนั้นก็รบต่อด้วยดาบของพวกเขา!"
