"TID","RU"
"TID_CLAN_MINIMUM_TROPHYS","Необходимо трофеев:"
"TID_CLAN_MIN_LEVEL","Минимальный уровень клана:"
"TID_CLAN_MIN_TROPHIES","Минимум очков клана:"
"TID_CLAN_NOTICE_BOARD_HEADER_TITLE","Поиск кланов по последним объявлениям"
"TID_CLAN_NOTICE_BOARD_INFO","Найдите свой идеальный клан с помощью клановых объявлений! Отредактируйте расширенные настройки, чтобы найти подходящий клан.\n\nГлавы и соруководители кланов могут создавать и размещать здесь объявления. Каждое объявление доступно в течение 24 часов или до тех пор, пока в клане есть место."
"TID_CLAN_NOTICE_BOARD_REFRESH","Обновить"
"TID_CLAN_NOTICE_LANGUAGE_MISSING_INFO","И еще кое-что — похоже, в вашем клане не выбран язык. Выберите язык, чтобы другим игрокам было проще найти ваш клан!"
"TID_CLAN_NOTICE_PUBLISH_FAILED_INTERNAL_ERROR","Что-то пошло не так. Пожалуйста, попробуйте еще раз."
"TID_CLAN_NOTICE_PUBLISH_FAILED_MESSAGE","Не удалось опубликовать клановое объявление: {0}."
"TID_CLAN_NOTICE_SAVE_FAILED_INTERNAL_ERROR","Что-то пошло не так. Пожалуйста, попробуйте еще раз."
"TID_CLAN_NOTICE_SAVE_FAILED_MESSAGE","Не удалось сохранить клановое объявление: {0}."
"TID_CLAN_NOTICE_SAVE_FAILED_NO_PERMISSION","Редактировать объявления могут только главы и соруководители клана."
"TID_CLAN_NOTICE_SAVE_FAILED_THROTTLED","Пожалуйста, немного подождите, прежде чем редактировать объявление."
"TID_CLAN_NOTICE_TITLE","Клановое объявление"
"TID_CLAN_NOTICE_UNPUBLISH_FAILED_INTERNAL_ERROR","Что-то пошло не так. Пожалуйста, попробуйте еще раз."
"TID_CLAN_NOTICE_UNPUBLISH_FAILED_MESSAGE","Не удалось убрать клановое объявление: {0}."
"TID_CLAN_NOTICE_UNPUBLISH_FAILED_NO_PERMISSION","Убирать объявления могут только главы и соруководители клана."
"TID_CLAN_NOTICE_UNPUBLISH_FAILED_THROTTLED","Пожалуйста, немного подождите, прежде чем убрать объявление."
"TID_CLAN_PERK_BONUS","Бонус привилегии"
"TID_CLAN_RAIDS","Рейды клана"
"TID_CLAN_RECRUITMENT_OPT_IN_ITEM_TEXT","Разрешить получение приглашений от кланов"
"TID_CLAN_RECRUITMENT_OPT_IN_ITEM_TITLE","Хотите, чтобы кланы могли найти вас?"
"TID_CLAN_SEARCH_NO_RESULTS","Ничего не найдено"
"TID_CLAN_SEARCH_OPTIONS","Другие\nварианты..."
"TID_CLAN_SEARCH_RESULTS","Показаны результаты по запросу \q<name>\q"
"TID_CLAN_SETTINGS","Настройки клана"
"TID_CLAN_SETTINGS_NO","Нет"
"TID_CLAN_SETTINGS_YES","Да"
"TID_CLAN_SHOW_ONLY_JOINABLE","Только доступные кланы:"
"TID_CLAN_STATUS_ACTIVE","Активировано"
"TID_CLAN_STATUS_CHAT","Чат:"
"TID_CLAN_STATUS_DONATIONS","Пожертвования:"
"TID_CLAN_STATUS_VERY_ACTIVE","Очень активный"
"TID_CLAN_STATUS_WARS","Войны"
"TID_CLAN_STAT_DEFEATS","Поражений:"
"TID_CLAN_STAT_VICTORIES","Побед:"
"TID_CLAN_TAG","Тег клана:"
"TID_CLAN_TAGS","Метки клана"
"TID_CLAN_TAG_ACTIVE_DAILY","Каждый день в игре"
"TID_CLAN_TAG_ACTIVE_DONATOR","Активно жертвую"
"TID_CLAN_TAG_AMATEUR_ATTACKER","Атакующий-любитель"
"TID_CLAN_TAG_BASE_DESIGNING","Планировки"
"TID_CLAN_TAG_BUILDER_BASE","Деревня строителя"
"TID_CLAN_TAG_CLAN_CAPITAL","Столица клана"
"TID_CLAN_TAG_CLAN_GAMES","Игры кланов"
"TID_CLAN_TAG_CLAN_WARS","Войны кланов"
"TID_CLAN_TAG_CLAN_WAR_LEAGUE","Лиги войн кланов"
"TID_CLAN_TAG_COMPETITIVE","Азартный"
"TID_CLAN_TAG_DONATIONS","Жертвуем"
"TID_CLAN_TAG_FARMING","Фарм"
"TID_CLAN_TAG_FRIENDLY","Дружелюбный"
"TID_CLAN_TAG_FRIENDLY_WARS","Дружеские войны"
"TID_CLAN_TAG_HUNGRY_LEARNER","Быстро учусь"
"TID_CLAN_TAG_INTERNATIONAL","Международный"
"TID_CLAN_TAG_NEWBIE","Новичок"
"TID_CLAN_TAG_NEWBIE_FRIENDLY","Рады новичкам"
"TID_CLAN_TAG_RELAXED","Спокойный"
"TID_CLAN_TAG_TALKATIVE","Общительный"
"TID_CLAN_TAG_TEACHER","Учитель"
"TID_CLAN_TAG_TROPHY_PUSHING","Охота за трофеями"
"TID_CLAN_TAG_UNDERDOG","Аутсайдеры"
"TID_CLAN_TAG_VETERAN","Ветеран"
"TID_CLAN_TOTAL_POINTS","Всего очков:"
"TID_CLAN_TYPE","Вид:"
"TID_CLAN_WARS","Войны кланов"
"TID_CLAN_WAR_CHALLENGE_ACCEPTED","Принято игроком <name>"
"TID_CLAN_WAR_CHALLENGE_CANCELLED","Отменено игроком <name>"
"TID_CLAN_WAR_CHALLENGE_REJECTED","Получен отказ от игрока <name>"
"TID_CLAN_WAR_CHALLENGE_REJECTED_AUTOMATICALLY","Испытание отклонено"
"TID_CLAN_WAR_FREQ","Участие в войне:"
"TID_CLAN_WAR_FREQ_ALWAYS","постоянно"
"TID_CLAN_WAR_FREQ_LESS_THAN_ONCE_WEEKLY","редко"
"TID_CLAN_WAR_FREQ_MORE_THAN_ONCE_WEEKLY","дважды в неделю"
"TID_CLAN_WAR_FREQ_NEVER","Никогда"
"TID_CLAN_WAR_FREQ_ONCE_WEEKLY","раз в неделю"
"TID_CLAN_WAR_FREQ_UNKNOWN","неважно"
"TID_CLAN_WAR_LEAGUE","Лига войн кланов"
"TID_CLAN_WAR_LEAGUE_BUILDING_LEAGUE_BRACKET","Создание группы лиги..."
"TID_CLAN_WAR_LEAGUE_JOIN_BUTTON","Войти в лиги"
"TID_CLAN_WAR_LEAGUE_SIGNUP_EXPIRY","Запись в лиги заканчивается через <time>"
"TID_CLAN_WAR_LEAGUE_STARTS_IN","Лиги стартуют через <time>"
"TID_CLAN_WAR_PREPARE_BUTTON","Приготовьтесь!"
"TID_CLAN_WIN_STREAK","Серия побед в войне:"
"TID_CLASHMAS_CAMPAIGN_TITLE","Веселого Clash-Рождества!"
"TID_CLASHMAS_SLEIGH","Сани с подарками"
"TID_CLASHOWEEN_BUILDING_INFO","Один из строителей придумал нечто, превращающее хранилища эликсира в хранилища кислого эликсира. Надеюсь, это временно."
"TID_CLASHOWEEN_COMBAT_ITEM_LOCKED","Соберите больше кислого эликсира, чтобы открыть."
"TID_CLEARED_LEVELS","Уровней пройдено"
"TID_CLEAR_SHOVELED_OBSTACLE_CONFIRM","<obstacle>: вы точно хотите удалить это препятствие? Использованный предмет «<booster>» возвращен не будет."
"TID_CLEAR_SHOVELED_OBSTACLE_CONFIRM_TITLE","Подтверждение удаления"
"TID_CLOCK_TOWER_BOOST_DURATION","Длительность ускорения: <number>"
"TID_CLOCK_TOWER_BOOST_TIME","Длительность ускорения: <number> сек."
"TID_CLOCK_TOWER_INFO","Часовая башня ускоряет все, что происходит в вашей деревне! Собирайте ресурсы, исследуйте и стройте быстрее."
"TID_CLOCK_TOWER_UPGRADE_NOTE","Продлевает действие ускорения на <time>"
"TID_CNY_CLAN_GAMES_HEADER","Игры в честь китайского Нового года"
"TID_COLLECTORS_FULL_NOTIFICATION","Вождь, сборщики ресурсов заполнены!"
"TID_COLLECTOR_BOOST_INFO","Удвойте производство ресурсов!\n\nУскорьте сборщиков ресурсов по 1 кристаллу за каждый."
"TID_COLLECT_CRAFTED_RESOURCE","Собрать"
"TID_COME_BACK_NOTIFICATION_LARGE","Возвращайтесь, деревне нужен вождь!"
"TID_COME_BACK_NOTIFICATION_MEDIUM","Деревне нужен лидер! Возвращайтесь, вождь!"
"TID_COME_BACK_NOTIFICATION_SMALL","Возвращайтесь, вождь! Вы нужны своей армии!"
"TID_COMING_SOON","Скоро..."
"TID_COMM_MAST","Радиовышка"
"TID_COMPLETE_NEXT_TASK_TO_UPGRADE","Чтобы улучшить, выполните следующее задание."
"TID_COMPLETE_PREVIOUS_CHALLENGE","Пройдите предыдущее испытание"
"TID_COMPLETION_BONUS_INFO","<soft_currency>: продолжайте собирать, чтобы получить еще больше ресурса «<hard_currency>»!"
"TID_COMPLETION_BONUS_INFO2","Все награды получены!"
"TID_COMPLETION_BONUS_TITLE","Бонусный трек"
"TID_COMPLETION_REWARD","Награда за завершение"
"TID_CONFIRM","Подтвердить"
"TID_CONFIRM_ALLIANCE_GAMES_DISCARD","После отказа вы не сможете приступить к новому испытанию в течение <time>"
"TID_CONFIRM_ALLIANCE_GAMES_DISCARD_TITLE","Отказаться от испытания?"
"TID_CONFIRM_ALLIANCE_GAMES_SPEEDUP","Потратить кристаллы (<number>) и приступить к новому заданию прямо сейчас?"
"TID_CONFIRM_ALLIANCE_GAMES_SPEEDUP_TITLE","Готовы к новому испытанию?"
"TID_CONFIRM_ARE_YOU_SURE","Вы уверены, что хотите удалить деревню и заменить ее на следующую:"
"TID_CONFIRM_CLEAR_TRAINING_QUEUE","Вы точно хотите очистить очередь обучения?"
"TID_CONFIRM_CLEAR_TRAINING_QUEUE_TITLE","Очистить очередь обучения?"
"TID_CONFIRM_CONFIRM","Пожалуйста, введите \q<confirmword>\q и нажмите \qОК\q, чтобы завершить действие."
"TID_CONFIRM_CONTINUE_WANTS_INVITES_TEXT","Вы отказались от нескольких приглашений в клан. Хотите продолжать получать приглашения?"
"TID_CONFIRM_CONTINUE_WANTS_INVITES_TITLE","Все еще в поиске?"
"TID_CONFIRM_DEVICE_LINKING","Подтвердить привязку"
"TID_CONFIRM_DEVICE_LINK_TEXT","Вы уверены, что хотите удалить деревню и заменить ее на следующую:"
"TID_CONFIRM_FINISH_TRAINING","Немедленно закончить тренировку за кристаллы?"
"TID_CONFIRM_FINISH_TRAINING_TITLE","Закончить тренировку?"
"TID_CONFIRM_MERGE","Уверены?"
"TID_CONFIRM_PARTIAL_TRAINING","Для всех воинов не хватит места. Хотите обучить часть армии?"
"TID_CONFIRM_PARTIAL_TRAINING_TITLE","Подтверждение обучения"
"TID_CONFIRM_SCENERY_PURCHASE_TEXT","<name>: хотите купить?"
"TID_CONFIRM_SCENERY_PURCHASE_TITLE","Купить оформление?"
"TID_CONFIRM_SKIN_PURCHASE_TEXT","Хотите купить скин «<name>»?"
"TID_CONFIRM_SKIN_PURCHASE_TITLE","Купить скин?"
"TID_CONFIRM_SUPER_TROOP_CANCEL_AND_REMOVE_TROOPS_TEXT","Вы точно хотите прекратить усиление воина до супервоина? Все усиленные воины исчезнут из вашей армии, а стоимость оставшегося времени действия усиления не будет возмещена."
"TID_CONFIRM_SUPER_TROOP_CANCEL_TEXT","Вы точно хотите прекратить усиление воина до супервоина? Стоимость оставшегося времени действия усиления не будет возмещена."
"TID_CONFIRM_SUPER_TROOP_CANCEL_TITLE","Прекратить усиление?"
"TID_CONFIRM_SUPER_TROOP_PURCHASE_TEXT","Усилить воина «<original>» до воина «<name>» на <duration>?"
"TID_CONFIRM_SUPER_TROOP_PURCHASE_TITLE","Усилить?"
"TID_CONFIRM_WANTS_SUGGESTED_PLAYERS_TEXT","Прошло немало времени. Вы все еще хотите, чтобы игра рекомендовала вас кланам как потенциального участника?"
"TID_CONFIRM_WORD","ПОДТВЕРДИТЬ"
"TID_CONGRATULATIONS","Поздравляем!"
"TID_CONNECT_WITH_FACEBOOK_BUTTON","Подключиться к Facebook"
"TID_CONNECT_WITH_SCID_BUTTON","Подключиться к Supercell ID"
"TID_CONTACT_US_WELCOME_TEXT","Здравствуйте!"
"TID_CONTAINER_MAX","Макс.: <amount>"
"TID_CONTINUE","Продолжить"
"TID_CONTRIBUTE","Внести вклад"
"TID_CONTRIBUTED","<name> жертвует"
"TID_COOLDOWN","Перерыв:"
"TID_COOLDOWN_TIME","Перерыв:"
"TID_COPIED_TO_DEVICE_CLIPBOARD","Тег скопирован в буфер обмена устройства!"
"TID_COPIED_TO_DEVICE_CLIPBOARD_GENERIC","Скопировано в буфер обмена устройства."
"TID_COPY_ACTION_BUTTON","Копировать"
"TID_COPY_ARMY_CANNOT_TRAIN","Вы не можете обучить эту армию."
"TID_COPY_HERE_BUTTON","Скопировать сюда"
"TID_COPY_LAYOUT_FAILED_DISTRICT_MISSING","Район для этой планировки еще не открыт."
"TID_COPY_LAYOUT_FAILED_NOT_IN_CLAN","Нельзя копировать планировки клана, если вы не состоите в клане."
"TID_COSMETICS_CUSTOM_ANIMATIONS","Особую анимацию."
"TID_COSMETICS_CUSTOM_EFFECTS","Визуальные эффекты."
"TID_COSMETICS_CUSTOM_MODEL","Особую модель."
"TID_COSMETICS_CUSTOM_MUSIC","Особую музыку."
"TID_COSMETICS_CUSTOM_SOUND","Звуковые эффекты."
"TID_COSMETICS_CUSTOM_TEXTURES","Особую текстуру."
"TID_COSMETICS_CUSTOM_UNITS","Особых призываемых воинов."
"TID_COSMETICS_CUSTOM_VO","Особый голос."
"TID_COSMETICS_EXTRA_ANIMATIONS","Дополнительную анимацию."
"TID_COSMETICS_EXTRA_EFFECTS","Дополнительные эффекты."
"TID_COSMETICS_EXTRA_SOUNDS","Дополнительные звуки."
"TID_COSMETICS_SCENERY_FEATURES","Оформление включает:"
"TID_COSMETICS_SKIN_FEATURES","Скин включает:"
"TID_COSMETICS_TIER_1","<cffffff>Обычный</c>"
"TID_COSMETICS_TIER_2","<cffd345>Золотой</c>"
"TID_COSMETICS_TIER_3","<ce86fff>Легендарный</c>"
"TID_COSMETIC_ESTATE_2X2_SMALL_CABIN","Небольшая избушка"
"TID_COSMETIC_ESTATE_2X2_SMALL_CABIN_INFO","Для тех, кто предпочитает прямоугольную планировку."
"TID_COSMETIC_ESTATE_2X2_SMALL_HUT","Небольшая хижина"
"TID_COSMETIC_ESTATE_2X2_SMALL_HUT_INFO","Милый домик для тех, кто пониже ростом."
"TID_COSMETIC_ESTATE_3X3_SLANTED_HOUSE","Скошенный дом"
"TID_COSMETIC_ESTATE_3X3_SLANTED_HOUSE_INFO","Снег на такой крыше не задержится, но внутренняя отделка этого дома — занятие не для слабонервных."
"TID_COSMETIC_ESTATE_3X3_THATCHED_HUT","Соломенная хижина"
"TID_COSMETIC_ESTATE_3X3_THATCHED_HUT_INFO","Жилище варваров, грубо сработанное и легко воспламеняющееся."
"TID_COSMETIC_ESTATE_3X3_WOODEN_CABIN","Деревянная изба"
"TID_COSMETIC_ESTATE_3X3_WOODEN_CABIN_INFO","Для тех, кто предпочитает прямоугольную планировку и больший, чем у соседей, размах."
"TID_COSMETIC_ESTATE_3X3_WOODEN_HOUSE","Деревянный дом"
"TID_COSMETIC_ESTATE_3X3_WOODEN_HOUSE_INFO","Добросовестно построенный дом. Красота, безопасность и комфорт."
"TID_COSMETIC_ESTATE_4X4_GIANTS_HOUSE","Дом гигантов"
"TID_COSMETIC_ESTATE_4X4_GIANTS_HOUSE_INFO","Если парадная дверь окажется слишком тяжелой, посетители могут воспользоваться другим входом."
"TID_COSMETIC_ESTATE_4X4_LARGE_HOUSE","Большой дом"
"TID_COSMETIC_ESTATE_4X4_LARGE_HOUSE_INFO","Просторные комнаты, отличный вид и достаточно места для хранения."
"TID_CRAFT","Произвести"
"TID_CRAFTING_FINISHES_IN","До конца производства:"
"TID_CRAFTING_RESOURCE_LOCKED","<resource>: для использования необходимо здание «<building>» <level>-го уровня."
"TID_CRAFT_RESOURCES_TITLE","Начать производство?"
"TID_CREATE_ALLIANCE_BUTTON","Создать"
"TID_CREATE_ALLIANCE_TAB","Создать клан"
"TID_CREATE_CLAN_ARRANGED_WARS_INFO","Разрешить другим кланам вызывать вас на дружеские войны?"
"TID_CREATE_CLAN_NOTICE_SUBTEXT","При создании кланового объявления будут применяться текущие настройки клана."
"TID_CREATE_CLAN_NOTICE_SUBTEXT_ACTIVE","В настоящее время ваше клановое объявление активно на доске объявлений!"
"TID_CREATE_CLAN_PUBLISH_WAR_LOG","Разрешить другим игрокам видеть в профиле результаты вашего участия в войне"
"TID_CREATE_PRESET_INFO","Добавьте воинов и заклинания, а потом сохраните армию"
"TID_CREATE_SKELETONS_SPELL","Скелетное заклинание"
"TID_CREATE_SKELETONS_SPELL_INFO","Разверните армию скелетов в любом месте поля боя!\n\nНесколько дополнительных бойцов появятся в нужном месте и в нужное время. На скелетов не реагируют ловушки."
"TID_CREATOR_BOOST_SUPPORTING","Я поддерживаю"
"TID_CREATOR_TAG_BEING_SENT","Отправка кода..."
"TID_CREATOR_TAG_NOT_ENTERED","Введите код"
"TID_CREDITS_BUTTON","О программе"
"TID_CURRENT_DAY","Этот день"
"TID_CURRENT_REWARDS","Сейчас"
"TID_CURRENT_WAR_LEAGUE","Текущая лига:"
"TID_DAILYLOGIN_BUTTON_CLAIM","Получить"
"TID_DAILYLOGIN_BUTTON_CLAIMED","Получено"
"TID_DAILYLOGIN_DAY","День <day>"
"TID_DAILYLOGIN_DISABLED_CLOSEBUTTON_TEXT","Сначала получите награду!"
"TID_DAILYLOGIN_INFO_TEXT","Заходите в игру каждый день и получайте награды!"
"TID_DAILYLOGIN_TITLE","Награда дня!"
"TID_DAILY_BONUS_LIMIT_REACHED","Достигнут предел дневной добычи"
"TID_DAILY_LOGIN_HUB_TEXT","Откройте <cffcc33>календарь наград</c>, чтобы увидеть ежедневные награды за вход в игру."
"TID_DAILY_LOOT_LIMIT_FILLED","Достигнут предел дневной добычи"
"TID_DAILY_LOOT_LIMIT_FULL_INFO","Вся доступная за день добыча уже выиграна. Но можно сразиться за трофеи!"
"TID_DAILY_TASK_1_DESC","Заработайте звезду в многопользовательском режиме в родной деревне."
"TID_DAILY_TASK_1_TITLE","Ежедневный многопользовательский бой"
"TID_DAILY_TASK_2_DESC","Заработайте звезду в бою деревни строителя."
"TID_DAILY_TASK_2_TITLE","Ежедневный бой в деревне строителя"
"TID_DAMAGE_PER_HIT","Урон за удар: <number>"
"TID_DAMAGE_RADIUS","Урон по области (клет.): <number>"
"TID_DANCE_FLOOR",
"TID_DANCE_FLOOR_INFO",
"TID_DANCE_STUDIO",
"TID_DANCE_STUDIO_INFO",
"TID_DANCE_STUDIO_TOO_LOW",
"TID_DARKTOWER_AMMO_ALREADY_FULL","Адская башня полностью заряжена!"
"TID_DARKTOWER_AMMO_FILL_CONFIRMATION","Адская башня заряжена!"
"TID_DARK_ELIXIR","Черный эликсир"
"TID_DARK_ELIXIR_BARRACK","Темная казарма"
"TID_DARK_ELIXIR_BARRACK_INFO","Темная казарма распахнет свои двери для созданий, появившихся благодаря черному эликсиру. Улучшите казарму, чтобы открыть больше видов войск с особыми боевыми навыками."
"TID_DARK_ELIXIR_PUMP_INFO","Наконец-то наши строители нашли способ добывать чистейший черный эликсир — самый редкий волшебный ресурс."
"TID_DARK_ELIXIR_SHOP_PACK","Черный эликсир: <number>"
"TID_DARK_ELIXIR_STORAGE_INFO","Обычные сосуды для эликсира слишком хрупки для черного эликсира. Его сила втрое больше, поэтому мы изобрели особое хранилище кубической формы!"
"TID_DARK_TOWER_INFO","Питаемое черным эликсиром пламя из адской башни наносит невероятный урон одиночным целям или жгет несколько целей одновременно."
"TID_DARK_WITCH","Ночная ведьма"
"TID_DEAL_END_TIME","До конца акции:"
"TID_DEATH_FREEZE_TIME","Заморозка при гибели (с.): <number>"
"TID_DECORATION_10YEAR_BIRTHDAY_STATUE","Подарок короля гоблинов"
"TID_DECORATION_10YEAR_BIRTHDAY_STATUE_INFO","Это бомба? Украшение к 10-й годовщине? Ратуша? Никто не знает..."
"TID_DECORATION_10_YEAR_FOUNTAIN","Юбилейный фонтан"
"TID_DECORATION_10_YEAR_FOUNTAIN_INFO","В честь десятилетия Supercell!"
"TID_DECORATION_8YEAR_BIRTHDAY_STATUE","Кусочек именинного торта"
"TID_DECORATION_8YEAR_BIRTHDAY_STATUE_INFO","Торговец желает вам вкусного 8-го дня рождения!"
"TID_DECORATION_9YEAR_BIRTHDAY_STATUE","Огненный шлем"
"TID_DECORATION_9YEAR_BIRTHDAY_STATUE_INFO","Это сигнальный костер? Украшение в честь 9-й годовщины? Вычурный мангал? Никто не знает!"
"TID_DECORATION_ANCIENT_BARBARIAN_STATUE","Древняя статуя варвара"
"TID_DECORATION_ARCHER_QUEEN_STATUE","Статуя королевы лучниц"
"TID_DECORATION_BARBARIAN_STATUE","Могучая статуя"
"TID_DECORATION_BATTLEMACHINE","Статуя боевой машины"
"TID_DECORATION_BK_STATUE","Статуя могучего героя"
"TID_DECORATION_BUILDER_STATUE","Статуя строителя"
"TID_DECORATION_CERTIFIED_CLASHER_STATUE","Статуя сертифицированного клэшера"
"TID_DECORATION_CLASHMAS_22","Сани с подарками"
"TID_DECORATION_CLASH_FEST_22_STATUE","Вечный огонь"
"TID_DECORATION_CLASH_FEST_22_STATUE_INFO","Неужели этот огонь никогда не гаснет?"
"TID_DECORATION_CLASMAS_22_INFO","Взлететь-то легко, а вот приземлиться куда сложнее."
"TID_DECORATION_CLOCKWORK_STATUE","Механическая статуя"
"TID_DECORATION_CLOCKWORK_STATUE_INFO","Если присмотреться, то иногда видно, как крутятся шестеренки!"
"TID_DECORATION_DOWNARROW_FLAG","Флаг точки сбора"
"TID_DECORATION_DRAGON_STATUE","Статуя дракона"
"TID_DECORATION_FIRECRACKER","Праздничные фейерверки"
"TID_DECORATION_FLOWERBOX1","Клумба с васильками"
"TID_DECORATION_FLOWERBOX2","Клумба с подсолнухами"
"TID_DECORATION_GENERIC","Украшение"
"TID_DECORATION_GOLDEN_GOBLIN","Золотой поэт"
"TID_DECORATION_GOLDEN_GOBLIN_INFO","И стар и млад гоблин золоту рад!"
"TID_DECORATION_GOLDEN_HOG","Золотой кабан"
"TID_DECORATION_GOLDEN_HOG_INFO","Смотрится, как золото, пахнет золотом и на ощупь, словно золото. Похоже, он золотой."
"TID_DECORATION_HOG_FLAG","Флаг с кабаном"
"TID_DECORATION_HOG_FLAG_INFO","Обозначает территорию счастливых кабанов."
"TID_DECORATION_LEAGUE_III_STATUE","Статуя искателя"
"TID_DECORATION_LEAGUE_III_STATUE_INFO","Тот, кому принадлежит эта статуя, поистине силен и скоро сможет претендовать на титул чемпиона."
"TID_DECORATION_LEAGUE_II_STATUE","Статуя претендента"
"TID_DECORATION_LEAGUE_II_STATUE_INFO","Владелец этой статуи, символизирующей растущее мастерство, становится силой, с которой нужно считаться."
"TID_DECORATION_LEAGUE_I_STATUE","Статуя мастера"
"TID_DECORATION_LEAGUE_I_STATUE_INFO","Владелец этой статуи показал свою силу в сражении, но надо продолжать совершенствоваться."
"TID_DECORATION_NATIONAL_FLAG","Национальный флаг"
"TID_DECORATION_PEKKA_STATUE","Статуя П.Е.К.К.А."
"TID_DECORATION_PINETREE","Ель"
"TID_DECORATION_PIRATE_ANCHOR","Якорь на пенсии"
"TID_DECORATION_PIRATE_ANCHOR_INFO","Однажды сорвавшись с цепи и упав на дно, этот якорь решил уйти на пенсию и насладиться покоем. Он по-прежнему старается следить за собой, но это не так-то просто в его возрасте."
"TID_DECORATION_SHORT_FILM_STATUE","Легендарная статуя"
"TID_DECORATION_SHORT_FILM_STATUE_INFO","Два брата с одной эпической историей на двоих."
"TID_DECORATION_SKULL_ALTAR","Древний череп"
"TID_DECORATION_SKULL_FLAG","Пиратский флаг"
"TID_DECORATION_SMALL_PINETREE","Маленькая ель"
"TID_DECORATION_SNOWMAN","Снеговик"
"TID_DECORATION_SNOWMAN_INFO","Выглядит, как обычный снеговик: копна желтых волос, глаза-бусинки и скелет из чистого льда."
"TID_DECORATION_SUPER_TROOP_STATUE","Суперстатуя"
"TID_DECORATION_SUPER_TROOP_STATUE_INFO","Встречайте супервоинов!"
"TID_DECORATION_SWORD_IN_STONE","Статуя Чемпиона"
"TID_DECORATION_SWORD_IN_STONE_INFO","Эту легендарную статую, которая символизирует силу, могут получить только участники величайших кланов."
"TID_DECORATION_TORCH","Факел"
"TID_DECORATION_UPARROW_FLAG","Флаг со стрелкой"
"TID_DECORATION_WAR_SHIELD","Статуя воина"
"TID_DECORATION_WAR_SHIELD_INFO","Чтобы получить эту статую, вам придется показать себя в лигах войн кланов. Заработайте побольше медалей!"
"TID_DECORATION_WHITE_FLAG","Белый флаг"
"TID_DECORATION_WINDMETER","Флюгер"
"TID_DECO_ANIME_BONSAI_TREE","Бонсай-сакура"
"TID_DECO_ANIME_CHIBI_ARCHER","Лучница-чиби"
"TID_DECO_ANIME_FORTUNETELLER","Колдун-автомат"
"TID_DECO_ANIME_GIANT_SCHOOL_GIRL","Кавайный гигант"
"TID_DECO_BOULDER","Валун"
"TID_DECO_CAP_REACHED","Добавлено максимальное количество этих украшений."
"TID_DECO_CLASHBALL_GOAL","Футбольный лагерь"
"TID_DECO_CLASHBALL_GOLDENBOOT","Золотая бутса"
"TID_DECO_CLASHBALL_STATUECHARACTER","Статуя Холанна"
"TID_DECO_CLASHBALL_TROPHYBALL","Лучший мяч"
"TID_DECO_CLASHBALL_TROPHYBEVERAGE","Молоко за победу"
"TID_DECO_CLASHBALL_TROPHYCROWN","Триумфальный трофей"
"TID_DECO_CLASHBALL_TROPHYCUP","Призовой кубок"
"TID_DECO_CLASHGAMES_ARCHERFOOT","Памятник ступне"
"TID_DECO_CLASHGAMES_FIREBOWL","Чемпионский огонь"
"TID_DECO_CLASHGAMES_GOBLINDIVE","Гоблинский бассейн"
"TID_DECO_CLOWN","Дружелюбный клоун"
"TID_DECO_COFFIN","Уютный гроб"
"TID_DECO_COZY_CLAM","Уютная раковина"
"TID_DECO_COZY_CLAM_INFO","Уютная раковина, в которой можно помечтать о потайных сокровищах, играя в Clash на складном устройстве!"
"TID_DECO_CWL_HAMMER","Молот лиги"
"TID_DECO_CWL_SHIELD","Щит лиги"
"TID_DECO_DARK_AGES_DRAGON","Трофей-дракон"
"TID_DECO_DARK_AGES_DRAGON_INFO","Статуя дракона стережет деревню, отпугивая врагов горящим взглядом и огненным дыханием."
"TID_DECO_DEAD_JAKUZZI","Жуткое спа"
"TID_DECO_DEAD_TREE","Мертвое дерево"
"TID_DECO_DUCK_POND","Кадка с уточкой"
"TID_DECO_EGYPT_2024_BABYDRAGON","Малыш Птах"
"TID_DECO_EGYPT_2024_GOBLIN","Гоблин-фараон"
"TID_DECO_EGYPT_2024_HOG","Кабаносфинкс"
"TID_DECO_FIREPLACE","Костер"
"TID_DECO_FIREWORK_FANBOY","Любитель фейерверков"
"TID_DECO_FIRST_BARBARIAN","Первый варвар"
"TID_DECO_FIRST_BARBARIAN_INFO","Старая статуя, сохранившаяся с тех времен, когда безвкусные стрижки были безумно популярны."
"TID_DECO_FLEXING_BARB","Красующийся варвар"
"TID_DECO_FOREST_2","Роща"
"TID_DECO_FOREST_3","Лес"
"TID_DECO_GAME_CAMPAIGN","Странный отряд"
"TID_DECO_GIFT_2024_CROWNSWORD","Коронный меч"
"TID_DECO_GINGERBREAD_BUILDING","Пекарня"
"TID_DECO_GOBLIN_BARREL","Гоблинская бочка"
"TID_DECO_GOBLIN_CART","Гоблинская повозка"
"TID_DECO_GOBLIN_CELLAR","Гоблинское подземелье"
"TID_DECO_GOBLIN_CHEST","Гоблинский сундук"
"TID_DECO_GOBLIN_DRAGON_STATUE","Гоблинская статуя дракона"
"TID_DECO_GOBLIN_KING_STATUE","Статуя короля гоблинов"
"TID_DECO_GOLDEN_BARBARIAN","Позолоченный варвар"
"TID_DECO_GOLDEN_BARBARIAN_INFO","Абсолютная степень блеска волос!"
"TID_DECO_GREAT_PYRE","Большой костер"
"TID_DECO_GREAT_PYRE_INFO","Идеально подходит для запекания зефирок и исполнения воодушевляющих песен о великих битвах."
