"TID","PT"
"TID_BUY_MULTIPLE_MISSING_RESOURCES_TEXT_N3","Comprar o que falta: <resource1> (<count1>), <resource2> (<count2>) e <resource3> (<count3>)?"
"TID_BUY_PREV_SLOT_FIRST","Compre o espaço anterior antes"
"TID_BUY_PRIZE_SHOP_ITEM_HEADER","Comprar <item>?"
"TID_BUY_PRIZE_SHOP_ITEM_MULTI_HEADER","Comprar <num>x <item>?"
"TID_BUY_PRIZE_SHOP_ITEM_MULTI_TEXT","Tem certeza de que quer comprar <num>x <item>?"
"TID_BUY_PRIZE_SHOP_ITEM_TEXT","Tem certeza de que quer comprar <item>?"
"TID_BUY_RESOURCES_STORAGE_FULL","Seu armazenamento não comporta mais <item>.\nQuer comprar apenas <num>x <item>?"
"TID_BUY_RESOURCE_PACK_HEADER","Comprar <resource>?"
"TID_BUY_RESOURCE_PACK_TEXT","Tem certeza de que deseja comprar <count> <resource>?"
"TID_BUY_SHIELD","Comprar escudo"
"TID_BUY_SHIELD_HEADER","Comprar escudo?"
"TID_BUY_SHIELD_TEXT","Tem certeza de que deseja comprar\n<name>?"
"TID_BUY_SHIELD_WHILE_GUARDED_TEXT","Tem certeza de que quer comprar <name>?\n<cff0000>NOTA: isso dispensará sua guarda ativa</c>."
"TID_CADPA","《部落冲突》适龄提示：\n1）本游戏是一款战争策略类游戏，适用于年满12周岁及以上的用户，建议未成年人在家长监护下使用游戏产品。\n2）本游戏以荒蛮原始的孤岛为背景，讲述了原始部落为生存而相互抗争的故事，涉及的情节、环境、场景均为虚构，不会与现实生活相混淆。游戏玩法基于一定难度的思维判断，设有竞技对抗比赛，鼓励玩家提升和挑战自我。游戏中有基于文字和语音的陌生人社交系统。\n3）根据国家相关要求，游戏中有用户实名认证系统，未通过实名认证的用户不可进入游戏；认证为未成年人的用户除周五、周六、周日及法定节假日每日20时至21时外其他时间均不可进入游戏。\n游戏中部分玩法和道具需要付费。根据腾讯健康系统管理规定，认证为未成年人的用户将接受以\n管理：\n未满12周岁的用户不能付费；12周岁以上未满16周岁的未成年人用户，单次充值金额不得超过50元人民币，每月充值金额累计不得超过200元人民币；16周岁以上的未成年人用户，单次充值金额不得超过100元人民币，每月充值金额累计不得超过400元人民币。\n4）本游戏内所包含的对抗玩法需要玩家进行策略规划和推理判断，有助于帮助玩家提升逻辑思维能力。游戏设有需组队进行的大型团队任务和比赛，鼓励玩家互相配合完成比赛，有助于培养玩家的团队协作能力。游戏提供了丰富的社交系统，包括好友、公会等，玩家之间可以互相交流，互相配合，共同完成游戏任务，有助于促进玩家的社会交流，维持良好的社群关系。"
"TID_CAMP_FIRE_DECO","Fogueira do acampamento Goblin"
"TID_CANCEL","Cancelar"
"TID_CANCELLING","Cancelando"
"TID_CANCEL_BOOST_CONFIRMATION","Melhorar esta construção interromperá a aceleração. Tem certeza?"
"TID_CANCEL_BOOST_CONFIRMATION_TITLE","Parar aceleração?"
"TID_CANCEL_CREATOR_SUPPORT_BUTTON","Parar de apoiar"
"TID_CANCEL_FRIENDLY_WAR_HEADER","Recusar desafio?"
"TID_CANCEL_FRIENDLY_WAR_SENDER_HEADER","Cancelar desafio?"
"TID_CANCEL_FRIENDLY_WAR_SENDER_TEXT","Quer cancelar o desafio de guerra amistosa?"
"TID_CANCEL_FRIENDLY_WAR_TEXT","Quer recusar o desafio de guerra amistosa? Novos desafios deste clã serão bloqueados por algum tempo."
"TID_CANCEL_HERO_BOOST_CONFIRMATION","Melhorar o herói interromperá a aceleração. Tem certeza?"
"TID_CANCEL_WAR_ARRANGED_MATCHMAKING_CONFIRMATION_TEXT","Quer mesmo cancelar o desafio de guerra amistosa?"
"TID_CANCEL_WAR_ARRANGED_MATCHMAKING_CONFIRMATION_TITLE","Cancelar desafio?"
"TID_CANCEL_WAR_MATCHMAKING_CONFIRMATION_TEXT","Interromper e reiniciar a busca não vai encurtar o tempo de busca e pode até aumentá-lo. Quer mesmo fazer isso?"
"TID_CANCEL_WAR_MATCHMAKING_CONFIRMATION_TITLE","Interromper a busca?"
"TID_CANCLE_SPELL_INFO","Atenção! Remover feitiços da fila reembolsará apenas <number>% do custo."
"TID_CANCLE_TRAINING_INFO","Atenção! Remover tropas da fila reembolsará apenas <number>% do custo."
"TID_CANNON2_INFO","Defesa terrestre icônica feita para durar. Um clássico que sempre deixa o mestre construtor mais sentimental."
"TID_CANNON_ABILITY_HELP","O canhão continua atirando com <num2> pontos de vida temporários após o carrinho ser destruído."
"TID_CANNON_ABILITY_NAME","Cartada final"
"TID_CANNON_CART_MORTAR_MODE","Modo Morteiro"
"TID_CANNON_CART_MORTAR_MODE_UPGRADE_INFO","Aumenta o dano de ataque do modo Morteiro para <num>."
"TID_CANNOT_ADD_MEMBER_TO_WAR_COOLDOWN","Este jogador ainda não se qualificou para a guerra."
"TID_CANNOT_SWITCH_TO_ACCOUNT_WITHOUT_SUPERCELL_ID","A vila de <name>, com Centro da Vila de nível <number>, foi encontrada! Inicie uma sessão com seu Supercell ID para carregá-la."
"TID_CANNOT_SWITCH_TO_ACCOUNT_WITHOUT_TENCENT_ID","A vila de <name>, com centro da vila de nível <number>, foi encontrada! Iniciar uma sessão com a conta vinculada ao WeChat ou ao QQ?"
"TID_CANT_SIGN_UP_RAID_NO_ARMY","Melhore o capitólio para o nível 2 para participar dos raides de fim de semana!"
"TID_CANT_START_PVP_VILLAGE_EDIT_OPEN","Feche o modo de edição da vila primeiro."
"TID_CAN_COPY_ONLY_SAME_BH_TO_YOUR_OWN","Não é possível copiar o layout se a casa do construtor for de um nível diferente do seu."
"TID_CAN_COPY_ONLY_SAME_CH_TO_YOUR_OWN","Não é possível copiar o layout se o capitólio for de um nível diferente do seu."
"TID_CAN_COPY_ONLY_SAME_DH_TO_YOUR_OWN","Não é possível copiar o layout se o centro do distrito for de um nível diferente do seu."
"TID_CAN_COPY_ONLY_TH_CLOSER_TO_YOUR_OWN","Não é possível copiar um layout com um Centro da Vila com mais de um nível acima ou abaixo do seu."
"TID_CAPACITY_LEFT_INDICATOR_TEXT","Restantes"
"TID_CAPBUILD_AIRBOMBS","Bombas Aéreas"
"TID_CAPBUILD_AIRBOMBS_INFO","Se você quer uma defesa aérea peso-pesado, conte com as bombas aéreas. Barris explosivos lentos, mas mortais, são lançados ao céu para detonar vários inimigos aéreos ao mesmo tempo."
"TID_CAPBUILD_AIR_DEFENSE","Defesa Aérea"
"TID_CAPBUILD_AIR_DEFENSE_INFO","Esta torre antiaérea é mortal contra inimigos voadores, mas não pode atingir inimigos terrestres. Posicione-a sabiamente para cobrir o maior espaço aéreo possível."
"TID_CAPBUILD_ARMY_FIELD_INFO","Um belo lugar para o exército relaxar entre os raides. Pode ser melhorado para que tenha mais espaço de habitação."
"TID_CAPBUILD_BARRACKS_ARCHER","Quartel da Arqueira Sorrateira"
"TID_CAPBUILD_BARRACKS_ARCHER_INFO","Local de treinamento das Arqueiras Sorrateiras. Cuidado com objetos pontiagudos pelo ar."
"TID_CAPBUILD_BARRACKS_BALLOON","Quartel do Balão-foguete"
"TID_CAPBUILD_BARRACKS_BALLOON_INFO","A prioridade é construir Balões-foguete rapidamente. Segurança em segundo lugar, na melhor das hipóteses."
"TID_CAPBUILD_BARRACKS_BARBARIAN","Quartel do Superbárbaro"
"TID_CAPBUILD_BARRACKS_BARBARIAN_INFO","Onde os Superbárbaros treinam. O local exala valentia e... suor."
"TID_CAPBUILD_BARRACKS_BATTLERAM","Quartel do Aríete de Batalha"
"TID_CAPBUILD_BARRACKS_BATTLERAM_INFO","Cabem vários Aríetes de Batalha dentro!"
"TID_CAPBUILD_BARRACKS_CANNONCART","Quartel do Carrinho de Raide"
"TID_CAPBUILD_BARRACKS_CANNONCART_INFO","Oficina dos Carrinhos de Raide. Sabemos como são feitos, mas de onde surgem os Bárbaros?"
"TID_CAPBUILD_BARRACKS_DRAGON","Quartel do Superdragão"
"TID_CAPBUILD_BARRACKS_DRAGON_INFO","Talvez madeira não tenha sido o melhor material para abrigar os Dragões. Mas, por algum milagre, o quartel ainda não pegou fogo."
"TID_CAPBUILD_BARRACKS_GIANT","Quartel do Supergigante"
"TID_CAPBUILD_BARRACKS_GIANT_INFO","O lar dos Supergigantes. Tem equipamento de peso por todos os lados!"
"TID_CAPBUILD_BARRACKS_HOG_RIDER","Quartel dos Domadores"
"TID_CAPBUILD_BARRACKS_HOG_RIDER_INFO","Gritos estridentes não param por um segundo. Parece que os Corredores e os Voadores estão felizes de se encontrarem."
"TID_CAPBUILD_BARRACKS_INFERNO_DRAGON","Quartel do Dragão Infernal"
"TID_CAPBUILD_BARRACKS_INFERNO_DRAGON_INFO","O local frequentado pelos Dragões Infernais. O Construtor Ancião precisou usar o material à prova de fogo mais resistente de todos."
"TID_CAPBUILD_BARRACKS_MEGAAIR","Pátio da Fortaleza Voadora"
"TID_CAPBUILD_BARRACKS_MEGAAIR_INFO","O pátio de construção da Fortaleza Voadora. Bem no alto da montanha, porque o construtor duvidou que ela fosse voar."
"TID_CAPBUILD_BARRACKS_MEGAGROUND","Pedreira do Golem da Montanha"
"TID_CAPBUILD_BARRACKS_MEGAGROUND_INFO","Um buraco enorme em formato de Golem no chão. É melhor que não seja necessário um buraco para cada um dos Golens."
"TID_CAPBUILD_BARRACKS_MEGAPEKKA","Quartel da P.E.K.K.A Poderosa"
"TID_CAPBUILD_BARRACKS_MEGAPEKKA_INFO","Como a P.E.K.K.A Poderosa entra? Peça por peça?"
"TID_CAPBUILD_BARRACKS_MEGA_SPARKY","Oficina do Mega Sparky"
"TID_CAPBUILD_BARRACKS_MEGA_SPARKY_INFO","Aqui, raios ricocheteiam incessantemente em esferas de vidro para criar o Mega Sparky. Toda pessoa que passa por perto fica com os cabelos arrepiados. Por que será?"
"TID_CAPBUILD_BARRACKS_MINION","Quartel dos Servos"
"TID_CAPBUILD_BARRACKS_MINION_INFO","Graças ao novo método, os Servos agora são agrupados em hordas!"
"TID_CAPBUILD_BARRACKS_SKELETON_BARREL","Quartel do Barril de Esqueletos"
"TID_CAPBUILD_BARRACKS_SKELETON_BARREL_INFO","É uma fábrica de barris ao lado de um cemitério. O dono é vendedor de balões."
"TID_CAPBUILD_BARRACKS_SUPER_DRAGON","Quartel do Superdragão"
"TID_CAPBUILD_BARRACKS_SUPER_DRAGON_INFO","Talvez madeira não tenha sido o melhor material para abrigar os Dragões. Mas, por algum milagre, o quartel ainda não pegou fogo."
"TID_CAPBUILD_BARRACKS_SUPER_MINER","Quartel do Supermineiro"
"TID_CAPBUILD_BARRACKS_SUPER_MINER_INFO","O ponto de encontro dos Supermineiros. Um cheiro de terra e óleo de escavadeiras predomina no ar."
"TID_CAPBUILD_BARRACKS_WIZARD","Quartel do Supermago"
"TID_CAPBUILD_BARRACKS_WIZARD_INFO","Disseram que é o quartel dos Supermagos, mas as explosões frequentes não deixam ninguém chegar perto para comprovar."
"TID_CAPBUILD_BLAST_BOW","Arco Colossal"
"TID_CAPBUILD_BLAST_BOW_INFO","Sempre quis saber o dano causado por uma flecha do tamanho de uma árvore? Suas dúvidas serão sanadas com o Arco Colossal. Nem precisa dizer que ele é muito perigoso."
"TID_CAPBUILD_BOMBTOWER","Torre de Bombas"
"TID_CAPBUILD_BOMBTOWER_INFO","Torres de Bombas fazem exatamente o que você espera: bombardeiam tropas terrestres. E ainda explodem quando são destruídas!"
"TID_CAPBUILD_CANNON","Canhão"
"TID_CAPBUILD_CANNON_INFO","Cada disparo do canhão é demorado, mas compensa no impacto. Outro porém é que ele não é inclinado o suficiente para acertar alvos aéreos."
"TID_CAPBUILD_CAPHQ","Capitólio"
"TID_CAPBUILD_CAPHQ_INFO","O coração da capital. Melhore para liberar novos distritos e mais níveis de construções no Pico da Capital."
"TID_CAPBUILD_CRUSHER","Esmagador"
"TID_CAPBUILD_CRUSHER_INFO","O esmagador preza muito seu espaço pessoal. Essa pedrona acaba com as unidades terrestres com um belo golpe."
"TID_CAPBUILD_DISHQ","Centro do distrito"
"TID_CAPBUILD_DISHQ_INFO","Onde os moradores e o Construtor Ancião se reúnem para cuidar do distrito. Melhore para liberar mais níveis de construções neste distrito."
"TID_CAPBUILD_GOBLIN_HALL","Salão de Goblins"
"TID_CAPBUILD_GOBLIN_HALL_INFO","Um salão de Goblins sem o barulho usual das tramas e das moedas de ouro caindo por toda parte."
"TID_CAPBUILD_GOBLIN_HUT","Cabana de Goblins"
"TID_CAPBUILD_GOBLIN_HUT_INFO","Uma cabana de Goblins abandonada. Será que está à venda?"
"TID_CAPBUILD_GOBLIN_OUTPOST","Posto de Goblins"
"TID_CAPBUILD_GOBLIN_OUTPOST_INFO","Um posto de Goblins. Cadê todo mundo?"
"TID_CAPBUILD_GUARDPOST_CART","Posto do Carrinho de Raide"
"TID_CAPBUILD_GUARDPOST_CART_INFO","Se um Carrinho de Raide tivesse sentimentos, ficaria feliz por poder disparar nos invasores."
"TID_CAPBUILD_GUARDPOST_DRAGONS","Posto do Superdragão"
"TID_CAPBUILD_GUARDPOST_DRAGONS_INFO","Superdragões são territoriais e chamuscam invasores sem dó."
"TID_CAPBUILD_GUARDPOST_GIANTS","Posto do Supergigante"
"TID_CAPBUILD_GUARDPOST_GIANTS_INFO","Os Supergigantes estão prontos para dar um supersoco em tropas invasoras."
"TID_CAPBUILD_INFERNO","Torre Inferno"
"TID_CAPBUILD_INFERNO_INFO","O inferno das tropas duronas, a Torre Inferno pode causar dano devastador às unidades nas quais se concentra."
"TID_CAPBUILD_MEGATESLA","Megatesla Oculta"
"TID_CAPBUILD_MEGATESLA_INFO","O que acontece quando uma Tesla Oculta fica mega? Dano severo até mesmo às unidades mais fortes!"
"TID_CAPBUILD_MINION_CRYPT","Ninho de Minisservos"
"TID_CAPBUILD_MINION_CRYPT_INFO","Construída sobre um ninho subterrâneo, esta defesa se abre para liberar um enxame de Minisservos extremamente territoriais e perigosos, capazes de neutralizar qualquer invasor."
"TID_CAPBUILD_MULTICANNON","Multicanhão"
"TID_CAPBUILD_MULTICANNON_INFO","Canhão com vários canos!"
"TID_CAPBUILD_MULTIMORTAR","Multimorteiro"
"TID_CAPBUILD_MULTIMORTAR_INFO","Atira de longe diversas vezes para aumentar as chances de atingir o alvo."
"TID_CAPBUILD_RAPID_ROCKETS","Foguetes Rápidos"
"TID_CAPBUILD_RAPID_ROCKETS_INFO","Estes foguetes têm um alcance menor em relação à Defesa Aérea, mas compensam com um impacto maior."
"TID_CAPBUILD_REFLECTOR","Refletor"
"TID_CAPBUILD_REFLECTOR_INFO","Ninguém poderia imaginar que uma engenhoca com escudos giratórios fosse capaz de mandar golpes de volta ao atacante, mas é exatamente isso que o Refletor faz."
"TID_CAPBUILD_ROCKET","Artilharia de Foguetes"
"TID_CAPBUILD_ROCKET_INFO","Lança foguetes explosivos em alvos terrestres e aéreos. Por algum milagre, nunca erra o alvo!"
"TID_CAPBUILD_SPEAR_THROWER","Atirador de Lanças"
"TID_CAPBUILD_SPEAR_THROWER_INFO","Arremessa lanças enormes nos inimigos terrestres e aéreos. Extremamente assustador."
"TID_CAPBUILD_SPELLLAB_FREEZE","Fábrica de Feitiço de Gelo"
"TID_CAPBUILD_SPELLLAB_FREEZE_INFO","Prepara frascos enormes de Feitiço de Gelo. Visitantes devem vir com roupa de inverno."
"TID_CAPBUILD_SPELLLAB_GRAVEYARD","Fábrica de Feitiço de Cemitério"
"TID_CAPBUILD_SPELLLAB_GRAVEYARD_INFO","Faz grandes barris cheios de Feitiço de Cemitério. Ignore o som de ossos chacoalhando."
"TID_CAPBUILD_SPELLLAB_HEAL","Fábrica de Feitiço de Cura"
"TID_CAPBUILD_SPELLLAB_HEAL_INFO","Prepara frascos enormes cheios de Feitiço de Cura. O aroma de flores faz com que dores de cabeça vão embora!"
"TID_CAPBUILD_SPELLLAB_JUMP","Fábrica de Feitiço de Salto"
"TID_CAPBUILD_SPELLLAB_JUMP_INFO","Prepara frascos enormes de Feitiço de Salto. A própria construção parece estar pronta para saltar."
"TID_CAPBUILD_SPELLLAB_LIGHTNING","Fábrica de Feitiço de Relâmpago"
"TID_CAPBUILD_SPELLLAB_LIGHTNING_INFO","Prepara frascos enormes de Feitiço de Relâmpago. Todos por perto ficam chocados!"
"TID_CAPBUILD_SPELLLAB_LONG_HASTE","Fábrica do Feitiço de Aceleração Infinita"
"TID_CAPBUILD_SPELLLAB_LONG_HASTE_INFO","Produz barris enormes de aceleração infinita. Por algum motivo, os aldeões que passam por perto estão sempre apressados."
"TID_CAPBUILD_SPELLLAB_RAGE","Fábrica de Feitiço de Fúria"
"TID_CAPBUILD_SPELLLAB_RAGE_INFO","Prepara frascos enormes cheios de Feitiço de Fúria. A raiva no ar é simplesmente contagiante."
"TID_CAPBUILD_SPELL_STORAGE","Armazenamento de Feitiços"
"TID_CAPBUILD_SPELL_STORAGE_INFO","O Armazenamento de Feitiços contém os feitiços da capital. Melhore para aumentar a capacidade de feitiços nos raides."
"TID_CAPBUILD_SUPERWIZARDTOWER","Torre do Supermago"
"TID_CAPBUILD_SUPERWIZARDTOWER_INFO","O ataque elétrico dos Supermagos funciona bem contra hordas de atacantes, pois o choque é tão forte que também afeta todos que estão perto do alvo inicial. Chocante!"
"TID_CAPBUILD_WALL_INFO","Muros protegem os distritos e mantêm os inimigos sob controle.\n\nOs muros de um distrito têm sempre o mesmo nível e são melhorados ao mesmo tempo. Quem constrói em bando, batalha em bando e melhora muros em bando!"
"TID_CAPITAL_ARMY_SAVE_FAILED","Não foi possível salvar o exército da capital."
"TID_CAPITAL_ARMY_SAVE_FAILED_SPELL_NOT_AVAILABLE","Alguns dos feitiços selecionados não estão disponíveis neste clã."
"TID_CAPITAL_ARMY_SAVE_FAILED_TOO_MANY_SPELLS","O clã tem muitos feitiços."
"TID_CAPITAL_ARMY_SAVE_FAILED_TOO_MANY_UNITS","O clã tem muitas tropas."
"TID_CAPITAL_ARMY_SAVE_FAILED_UNIT_NOT_AVAILABLE","Algumas das tropas selecionadas não estão disponíveis neste clã."
"TID_CAPITAL_ARMY_SAVE_INVALID","Não é possível salvar um exército da capital inválido."
"TID_CAPITAL_ARMY_SAVE_OK","Exército da capital editado"
"TID_CAPITAL_ARMY_SAVE_PENDING","Aguarde. O exército da capital está sendo salvo."
"TID_CAPITAL_CLAN_RANK","Posição do clã:"
"TID_CAPITAL_CLAN_XP_REWARD","XP do clã: <number>"
"TID_CAPITAL_DISTRICTS_DESTROYED","Distritos destruídos: <progress>/<total>"
"TID_CAPITAL_DISTRICTS_STANDING","Distritos de pé: <progress>/<total>"
"TID_CAPITAL_ENDLESS_HASTE_SPELL","Feitiço de Aceleração Infinita"
"TID_CAPITAL_ENDLESS_HASTE_SPELL_INFO","Acelere suas tropas para sempre!\n\nUse o feitiço para criar um anel acelerador. As tropas que passam pelo anel ficam aceleradas até o fim da batalha!"
"TID_CAPITAL_FRIENDLT_ARMY_DATA_NOT_AVAILABLE","Aguarde até que os dados do exército da capital estejam disponíveis."
"TID_CAPITAL_FROST","Feitiço de Gelo"
"TID_CAPITAL_FROST_INFO","No calor da batalha, é importante manter a cabeça fria!\n\nUse o feitiço de gelo para desacelerar defesas ou para criar uma ponte de gelo sobre a água."
"TID_CAPITAL_GOLD_INFO","O ouro da capital é obtido na forja e nos saques dos raides. Use-o para fazer melhorias na capital do clã."
"TID_CAPITAL_GOLD_STORAGE_ALMOST_FULL_TEXT","O estoque de ouro da capital está quase cheio. Atacar mesmo assim?"
"TID_CAPITAL_GOLD_STORAGE_FULL_TEXT","O estoque de ouro da capital está cheio. Atacar mesmo assim?"
"TID_CAPITAL_GOLD_STORAGE_FULL_TITLE","Tem certeza?"
"TID_CAPITAL_GRAVEYARD_INFO","Um feitiço sombrio que ressuscita os mortos!\n\nO feitiço invoca Esqueletos com base no espaço de habitação da tropa derrotada em batalha. Tropas voadoras viram Esqueletos voadores."
"TID_CAPITAL_GRAVEYARD_SPELL","Feitiço de Cemitério"
"TID_CAPITAL_HALL_LEVEL","Capitólio <level>"
"TID_CAPITAL_HALL_LEVEL_STAT","Capitólio nível"
"TID_CAPITAL_HALL_LEVEL_TOO_LOW","É preciso melhorar o capitólio para o nível <number>!"
"TID_CAPITAL_JUMP_INFO","Muros e rios estão atrapalhando? Use este feitiço para fazer suas tropas pularem os obstáculos como se eles nem existissem!"
"TID_CAPITAL_LEAGUE_TITLE","Ligas da Capital"
"TID_CAPITAL_LOCKED_CLAN_LEVEL_TOO_LOW","A capital do clã é liberada com clã de nível <level>."
"TID_CAPITAL_LOCKED_JOIN_CLAN","É preciso estar em um clã para ir à capital do clã."
"TID_CAPITAL_LOCKED_PLAYER_LEVEL_TOO_LOW","A capital do clã é liberada com centro da vila <level>."
"TID_CAPITAL_MAP_MODE_TEXT_RAID","Raide de ataque"
"TID_CAPITAL_MAP_MODE_TEXT_VISITING_FINISHED_ATTACK","Raide de ataque anterior"
"TID_CAPITAL_MAP_MODE_TEXT_VISITING_FINISHED_DEFENSE","Raide de defesa anterior"
"TID_CAPITAL_MAP_MODE_TEXT_VISITING_ONGOING_DEFENSE","Raide de defesa"
"TID_CAPITAL_PLAYGROUND","Parquinho da capital"
"TID_CAPITAL_PLAYGROUND_CLEAN_UP","Agora destrua as defesas restantes. Use a sua criatividade!"
"TID_CAPITAL_PLAYGROUND_DEPLOY_AREA_EXPLANATION","Não é possível mobilizar unidades de todas as direções nos ataques da capital."
"TID_CAPITAL_PLAYGROUND_DEPLOY_AREA_EXPLANATION_2","A área de mobilização inicial fica dentro do matagal."
"TID_CAPITAL_PLAYGROUND_DEPLOY_AREA_EXPLANATION_3","A área de mobilização cresce quando você destrói construções e muros no caminho."
"TID_CAPITAL_PLAYGROUND_DEPLOY_AREA_EXPLANATION_4","Veja só como a área de mobilização aumenta depois disso."
"TID_CAPITAL_PLAYGROUND_FROST","<c38eaff>Feitiços de Gelo</c> desaceleram defesas e congelam a água para que tropas terrestres possam passar."
"TID_CAPITAL_PLAYGROUND_FROST_2","Mobilize o <c38eaff>Feitiço de Gelo</c> aqui para atacar as defesas inimigas por trás."
"TID_CAPITAL_PLAYGROUND_GATES","Unidades de defesa não podem pular na capital, mas podem atravessar portões."
"TID_CAPITAL_PLAYGROUND_GATES_2","Para quem ataca, portões funcionam exatamente como muros."
"TID_CAPITAL_PLAYGROUND_GATES_3","Pobres <cf70d16>Gigantes</c>! Eles ficaram presos no compartimento deles."
"TID_CAPITAL_PLAYGROUND_GATES_4","Eles são alvos fáceis para unidades de longo alcance."
"TID_CAPITAL_PLAYGROUND_INTRO","Um membro do clã já atacou este distrito. Vamos continuar de onde ele parou!"
"TID_CAPITAL_PLAYGROUND_INTRO_2","Ele danificou e destruiu algumas construções. Alem disso, também deixou um <cffe346>Feitiço de Cura</c> para trás."
"TID_CAPITAL_PLAYGROUND_JUMP","Use <c85ff3b>Feitiços de Salto</c> para pular muros, rios e águas costeiras."
"TID_CAPITAL_PLAYGROUND_JUMP_2","<c85ff3b>Feitiços de Salto</c> também aumentam a área de mobilização. Use o feitiço aqui."
"TID_CAPITAL_PLAYGROUND_JUMP_3","<c85ff3b>Feitiços de Salto</c> não podem ser usados para pular penhascos ou águas abertas."
"TID_CAPITAL_PLAYGROUND_SNEAKY_ARCHERS","Mobilize <c54a0fe>Arqueiras Sorrateiras</c> para destruir <cf70d16>Multicanhões</c> atrás do muro."
"TID_CAPITAL_PLAYGROUND_SPELL_EXPLANATION","Feitiços não têm tempo de duração na capital."
"TID_CAPITAL_PLAYGROUND_SPELL_EXPLANATION_2","Eles ficam ativos por todo o ataque e também para o próximo atacante. Depois disso, eles somem."
"TID_CAPITAL_PLAYGROUND_SUPER_BARBARIANS","Mobilize <c54a0fe>Superbárbaros</c> para destruir algumas construções."
"TID_CAPITAL_PLAYGROUND_SUPER_GIANTS","Mobilize <c54a0fe>Supergigantes</c> para absorver o dano."
"TID_CAPITAL_PLAYGROUND_SUPER_GIANTS_2","Reforce o ataque com mais alguns <c54a0fe>Supergigantes</c>."
"TID_CAPITAL_PLAYGROUND_SUPER_WIZARDS","Mobilize <c54a0fe>Supermagos</c> para destruir <cf70d16>Atiradores de Lanças</c> e <cf70d16>Torre de Bombas</c> atrás dos muros."
"TID_CAPITAL_PLAYGROUND_SUPER_WIZARDS_2","Os <c54a0fe>Supermagos</c> têm um alcance menor do que o das <c54a0fe>Arqueiras Sorrateiras</c>."
"TID_CAPITAL_PLAYGROUND_WALL_EXPLANATION","As tropas terrestres não podem andar ao redor de muros próximos à água, penhascos ou à beira do distrito."
"TID_CAPITAL_PLAYGROUND_WALL_EXPLANATION_2","Por isso, elas precisam destruir o muro para chegar ao <cf70d16>canhão</c>."
"TID_CAPITAL_RAID_ALL_ATTACKS_USED","Você não tem mais ataques."
"TID_CAPITAL_RAID_AMOUNT_ATTACKS","Total de ataques: <number>"
"TID_CAPITAL_RAID_ATTACKER_LEFT_THE_CLAN","Você já atacou com outro clã."
"TID_CAPITAL_RAID_ATTACK_FAILED","Não foi possível atacar o distrito."
"TID_CAPITAL_RAID_DEFENSE_MEDALS_ALT_GEMS_RECEIVED","Você recebeu <num> gemas como recompensa de defesa no raide de fim de semana."
"TID_CAPITAL_RAID_DEFENSIVE_REWARD","Recompensas da defesa: <number>"
"TID_CAPITAL_RAID_DISTRICT_ALREADY_DESTROYED","O distrito já foi destruído."
"TID_CAPITAL_RAID_DISTRICT_STILL_LOCKED","Ainda não é possível atacar este distrito."
"TID_CAPITAL_RAID_INVALID_TARGET","Não é possível atacar este distrito."
"TID_CAPITAL_RAID_NOTWEEKEND_STARTED_NOTIFICATION","É hora do raide! Ataque a capital dos clãs rivais e conquiste a vitória."
"TID_CAPITAL_RAID_OFFENSE_MEDALS_ALT_GEMS_RECEIVED","Você recebeu <num> gemas como recompensa de ataque no raide de fim de semana."
"TID_CAPITAL_RAID_OFFENSIVE_REWARD","Recompensas do ataque: <number>"
"TID_CAPITAL_RAID_PERSONAL_BREAK","Intervalo pessoal"
"TID_CAPITAL_RAID_RECENT_PROGRESS","Progresso recente:"
"TID_CAPITAL_RAID_SEASON_FULL","Seu clã já atingiu o número máximo de membros neste raide de fim de semana."
"TID_CAPITAL_RAID_SEASON_REWARD","Você recebeu <num> medalhas no raide de fim de semana."
"TID_CAPITAL_RAID_SNAPSHOT_NOT_AVAILABLE","Não foi possível acessar o distrito."
"TID_CAPITAL_RAID_TARGET_UNDER_ATTACK","O distrito já está sob ataque."
"TID_CAPITAL_RAID_VISIT_FAILED","Não foi possível explorar o distrito."
"TID_CAPITAL_RAID_VISIT_INVALID_TARGET","Não é possível explorar o distrito."
"TID_CAPITAL_RAID_WEEKEND_ENDSOON_NOTIFICATION","O raide de fim de semana termina em breve. Finalize seus ataques!"
"TID_CAPITAL_RAID__WEEKEND_STARTED_NOTIFICATION","O raide de fim de semana começou! Ataque a capital dos clãs rivais e conquiste a vitória."
"TID_CAPITAL_RESOURCE","Ouro da capital"
"TID_CAPITAL_RESOURCE_FULL","Capacidade insuficiente!"
"TID_CAPITAL_REWARD","Medalhas de raide"
"TID_CAPITAL_REWARD_END_BATTLE","As medalhas de raide são transferidas para o baú da capital do clã."
"TID_CAPITAL_REWARD_FULL","Capacidade insuficiente!"
"TID_CAPITAL_SHOP_CONFIRM_TEXT","Comprar <num>x <item>?"
"TID_CAPITAL_SHOP_CONFIRM_TITLE","Comprar?"
"TID_CAPITAL_SHOP_RESOURCE_CONFIRM_TEXT","Comprar <num> <item>?"
"TID_CAPITAL_SPELL_DURATION","Duração:"
"TID_CAPITAL_SPELL_DURATION_ATTACKS","<num> ataques"
"TID_CAPITAL_TUTORIAL_1","Chefe, tem uma pessoa querendo falar com você. Ele é bem mal-educado."
"TID_CAPITAL_TUTORIAL_10","Embora este seja o meu preferido."
