"TID","EN"
"TID_CHARACTER_INFO_HOG_GLIDER_SHORT","Free as a bird, happy as a Hog."
"TID_CHARACTER_INFO_HOG_RAIDERS","A beautiful reunion of Riders and Gliders, it's the Hog Raiding Party!"
"TID_CHARACTER_INFO_HOG_RIDER","Lose the Glider, and you are left with two original daredevils. This dynamic duo also has zero problems getting over Walls."
"TID_CHARACTER_INFO_HOG_WIZARD","This dangerous duo merges the fiery attitude and magic of a Wizard with the relentless mobility of a Hog Rider. Opponents will shake in their boots at the sound of this pair approaching!"
"TID_CHARACTER_INFO_HULK_BIG","When the tough keeps going, the going gets tough!"
"TID_CHARACTER_INFO_HULK_SMALL","When the going gets tough, the tough keeps going!"
"TID_CHARACTER_INFO_ICEGOLEM","The Ice Golem has a chilling personality and absolutely zero sense of humour. He frosts over everything he touches, freezes his surroundings when destroyed and ices up when talked to at a party. On defense his freeze effect is smaller and has a shorter duration."
"TID_CHARACTER_INFO_ICEGOLEM_SHORT","A walking icicle who freezes surroundings on falling."
"TID_CHARACTER_INFO_IRONFIST_GIANT","Heavy-handed and built like an ox, these Giants have been practicing their haymaker punch!"
"TID_CHARACTER_INFO_IRONFIST_GIANT_SHORT","Super ultra heavyweight champions of the Clash boxing league."
"TID_CHARACTER_INFO_LAVALOON","Blending the powerfully blasty bombs of a Balloon with the rock-hard armour of a Lava Hound, the Lavaloon brings a base to ruin one boom at a time."
"TID_CHARACTER_INFO_LAVALOON_PUP","Born to battle, these mischievous green creatures keep the fight up for a little while longer."
"TID_CHARACTER_INFO_LIGHTNINGDRAGON","Possessing iron-tough scales and a breath of devastating lightning, the Electro Dragon's favorite thing is raining destruction from above. When vanquished, the Electro Dragon even pummels the ground with lightning strikes!"
"TID_CHARACTER_INFO_LIGHTNINGDRAGON_SHORT","Shock and awe from the skies."
"TID_CHARACTER_INFO_LUMBERJACK","Never goes anywhere without his Rage Bottle and never shares until he gets knocked out."
"TID_CHARACTER_INFO_MAGIC_ARCHER","Having achieved serious arm strength, the Super Archer can now threaten targets several buildings away."
"TID_CHARACTER_INFO_MEGA_SPARKY","With no fear, this seemingly unstoppable machine, slowly but surely, takes out defenses with thunderous electrical shockwaves. Will the nightmare never end?"
"TID_CHARACTER_INFO_MINION","This terror of the skies was born out of Dark Elixir. Undetectable by the Seeking Air Mine, Minions materialize with ease, but are fragile in our world."
"TID_CHARACTER_INFO_MINION_HORDE","Six fast, unarmored flying attackers. Three's a crowd, six is a horde!"
"TID_CHARACTER_INFO_MINION_SHORT","A relentless ranged nuisance who keeps attacking."
"TID_CHARACTER_INFO_MOVING_CANNON","A Cannon on wheels?! Wait, did it just turn into a Mortar?? Bet they won´t see that coming! Both powerful and versatile!"
"TID_CHARACTER_INFO_MOVING_CANNON_SHORT","How many Cannons can a Cannon Cart cart?"
"TID_CHARACTER_INFO_PARTY_WIZARD","The distant echo of a kick snare or high hat can only mean one thing; the Party Wizard is making his grand entrance. Dropping phat beats and massive fireballs, he's the soul of post-battle celebrations."
"TID_CHARACTER_INFO_PEKKA","Is P.E.K.K.A a knight? A samurai? A robot? No one knows! P.E.K.K.A´s armor absorbs even the mightiest of blows."
"TID_CHARACTER_INFO_PEKKA_SHORT","Massively armored with a mightily brutal sword."
"TID_CHARACTER_INFO_PUMPKIN_BARBARIAN","Who would've thought that pumpkins make for good makeshift armor? The pumpkin helmets provide these regular Barbarians some extra hitpoints until they get destroyed."
"TID_CHARACTER_INFO_RAGED_BARBARIAN","Why is he so angry, speedy and vicious? Nobody's brave enough to ask. Maybe it's because he can't find his sword?"
"TID_CHARACTER_INFO_RAGED_BARBARIAN_SHORT","More speed, more rage, more drool!"
"TID_CHARACTER_INFO_RAID_CART","Another Cannon on wheels?! It might lack the element of surprise, but makes up for it with lots of bulk, added firepower and an escort of rowdy Barbarians!"
"TID_CHARACTER_INFO_RAM_RIDER","She may not know the RAMifications of defeat as this Gingerbread Ram Rider is one tough cookie. This dessert duo is the best combination since Oreo and Juliet and makes Walls crumble like overbaked biscuits."
"TID_CHARACTER_INFO_RIDER","Having tamed the fierce leaping Hog, the Hog Rider punishes those who hide behind their puny Walls! Fueled by Dark Elixir, these warriors have never known defeat!"
"TID_CHARACTER_INFO_RIDER_SHORT","Leaps over Walls for up close hammer time with defenses."
"TID_CHARACTER_INFO_ROCKET_BALLOONS","When terrain is working against you, a swarm of Rocket Balloons can probably get the job done... if their boosters don't run out first."
"TID_CHARACTER_INFO_SIDE_THROWER","This big budding sportsman throws a heavy bouncing ball at the nearest Building. Then he moves on to the typical Giant smashing!"
"TID_CHARACTER_INFO_SIEGE_CART","A Cannon on wheels?! Bet they won't see that coming! Tons of fire-power, but not that sturdy!"
"TID_CHARACTER_INFO_SIEGE_MACHINE_CARRIER","The Siege Barracks parachutes down gracefully to first release a menagerie of P.E.K.K.As and Wizards and then the Clan Castle troops. How they all managed to squeeze inside is a mystery not really worth investigating."
"TID_CHARACTER_INFO_SIEGE_MACHINE_CARRIER_SHORT","Spawns Wizards and a P.E.K.K.A to do its dirty work."
"TID_CHARACTER_INFO_SIEGE_MACHINE_CATAPULT","This little charmer flings bundles of Fire Spirits that both hit hard and leave behind a burning mess. Its long range helps it stay out of trouble, but beware of longer range defenses and traps! Immune to spell effects."
"TID_CHARACTER_INFO_SIEGE_MACHINE_CATAPULT_SHORT","Burn bases down to the ground from afar."
"TID_CHARACTER_INFO_SIEGE_MACHINE_FLYER","The Battle Blimp bypasses ground-based obstacles and delivers your Clan Castle troops directly into the heart of the enemy Village, all while dropping bombs along the way. However, its thin hide makes it easier to shoot down. Immune to Spell effects."
"TID_CHARACTER_INFO_SIEGE_MACHINE_FLYER_SHORT","Bombs its way straight to the Town Hall."
"TID_CHARACTER_INFO_SIEGE_MACHINE_INVISIBLE","WIP Moves toward the TH and has an invisibility aura to hide your troops."
"TID_CHARACTER_INFO_SIEGE_MACHINE_INVISIBLE_FLYING","WIP Flying drone that follows your troops with the GW AI and has an invisibility aura."
"TID_CHARACTER_INFO_SIEGE_MACHINE_LOG_LAUNCHER","While Log Launcher certainly isn't the fastest or the sturdiest, it is definitely among the meanest. This trunk-throwing contraption pummels everything in front of it with endless logs to open up a path to the enemy Town Hall. Immune to spell effects."
"TID_CHARACTER_INFO_SIEGE_MACHINE_LOG_LAUNCHER_SHORT","Relentlessly lobs log after log."
"TID_CHARACTER_INFO_SIEGE_MACHINE_RAM","The Wall Wrecker exists for two simple purposes: to smash through anything that it comes across and to deliver the Clan Castle Troops straight to the heart of the Village. Built from heavy duty materials, it can take a pummeling before breaking down. Immune to Spell effects."
"TID_CHARACTER_INFO_SIEGE_MACHINE_RAM_SHORT","Breaks a path right through to the Town Hall."
"TID_CHARACTER_INFO_SIEGE_MACHINE_TROOP_CATAPULT","WIP Flings your Siege Machine troops"
"TID_CHARACTER_INFO_SKELETON","This undead creature poses little threat by itself. But it never fights alone, since the Witch can summon an endless horde of Skeletons against your enemy!"
"TID_CHARACTER_INFO_SKELETON2","This undead creature poses little threat by itself. But it never fights alone, since the Drop Ship can throw an endless horde of Skeletons at your enemies!"
"TID_CHARACTER_INFO_SKELETON3","This undead creature poses little threat by itself. But it never fights alone, since there's a whole gang of them battling together!"
"TID_CHARACTER_INFO_SKELETON_BARREL","Is it a bird? Is it a plane? No, just Harry, Larry, Terry and a dozen friends, heading for the nearest building in a barrel of bones!"
"TID_CHARACTER_INFO_SKELETON_BARRELS","Did someone say Barrel Parade? It's a Skeleton party in the sky, until all the balloons pop... then it's a Skeleton party on the ground!"
"TID_CHARACTER_INFO_SKELETON_GLIDER","It's hard to get past Walls as a lowly Skeleton. But bones and gliders are light enough to easily soar over them!"
"TID_CHARACTER_INFO_SKELETON_GOLEM_WITCH","This undead creature poses little threat by itself. But it never fights alone, since the Witch Golem can summon an endless horde of Skeletons against your enemy!"
"TID_CHARACTER_INFO_SNEAKY_ARCHER","Cloaked under cover of moonlight, Archers can take out targets before ever being seen. Their weakness? Overconfidence."
"TID_CHARACTER_INFO_SNEAKY_ARCHERS","A squad of stealthy Archers is a surefire way to take out important targets. Until they get revealed, that is."
"TID_CHARACTER_INFO_SNEAKY_ARCHER_SHORT","What´s better than sniping defenses? Being invisible while you do it."
"TID_CHARACTER_INFO_SPEAR_GOBLIN","Who thought it was a good idea to teach Goblins how to throw spears? Where do all the spears come from? No matter, they make a great deterrent for both ground and air attackers."
"TID_CHARACTER_INFO_SUPER_BARBARIANS","For any urgent pummeling needs, you can always rely on a gang of Super Barbarians. They're best fresh after being deployed, but maintain a good work ethic even after calming down."
"TID_CHARACTER_INFO_SUPER_CHARGED_PEKKA","Unstable energy radiates from this powerful suit of dark armor, waiting to be unleashed!"
"TID_CHARACTER_INFO_SUPER_CHARGED_PEKKA_SHORT","This overpowered P.E.K.K.A has a terrifying stomp."
"TID_CHARACTER_INFO_SUPER_GIANTS","A pair of Super Giants are a true multi-tool: beefy, great at smashing defenses, but also talented at breaking through Walls, when needed!"
"TID_CHARACTER_INFO_SUPER_MINION","Super Minion's big forehead isn't just for show: sniping enemy defenses from a safe distance is simply a brainy move! Especially when you've grown too big to avoid Seeking Air Mines."
"TID_CHARACTER_INFO_SUPER_WIZARDS","Did you know a group of Super Wizards is called an \qego\q? Great at blasting away buildings placed close together, but not as tough as they'd like to think!"
"TID_CHARACTER_INFO_TOXIC_MINION","Attacks targets from a distance, glows in the dark, and is a maniac on the dance floor."
"TID_CHARACTER_INFO_TOXIC_MINION_SHORT","Glowing green gargoyles give gratuitous gifts."
"TID_CHARACTER_INFO_TREANT","This earth warrior is so in tune with nature she doesn't need to walk herself. Riding into battle on top a tough tree root which can smash through Walls and slam defenses into dust."
"TID_CHARACTER_INFO_TREANT_SHORT","Her tough tree root smashes Walls and defenses into dust."
"TID_CHARACTER_INFO_VALKYRIE","A master of the two-handed axe, this glorious warrior runs between nearby buildings and can shred several troops or buildings at once with her whirlwind blow!"
"TID_CHARACTER_INFO_VALKYRIE_SHORT","This whirling warrior's axe reduces buildings to rubble."
"TID_CHARACTER_INFO_WALLBREAKER","Nothing warms a Wall Breaker's cold and undead heart like blowing up Walls. A squad of them will make way for your ground units, and they will do it with a BANG!"
"TID_CHARACTER_INFO_WALLBREAKER_SHORT","Helps the rest of your Army by blowing holes in Walls."
"TID_CHARACTER_INFO_WARLOCK","The Witch never fights alone, constantly raising dead warriors from past battles to lead her attacks. Upgraded Witches raise more skeletons at a time."
"TID_CHARACTER_INFO_WARLOCK_SHORT","Summon Skeletons with style!"
"TID_CHARACTER_INFO_WATER_DRAGON","The Year of the Azure Dragon represents strength and power, and this majestic wyrm embodies both. As a harbinger of spring and the coming rainfall, may Azure Dragon rain victory upon your battlefield. With its high hit points and piercing splash projectile that also deals damage behind its initial target, this mighty unit will definitely make sure your battles don't... drag on."
"TID_CHARACTER_INFO_WIZARD","The Wizard is a terrifying presence on the battlefield. Pair him up with some of his fellows and cast concentrated blasts of destruction on anything, land or sky!"
"TID_CHARACTER_INFO_WIZARD2","This Legendary wizard slows down enemy defenses with destructive shards of ice!\n\nOnly available for a limited time."
"TID_CHARACTER_INFO_WIZARD_SHORT","No wand needed for fireball after fireball."
"TID_CHARACTER_INFO_YETI","This heavy-hitting furry fellow digs cold weather and his Yetimite buddies. Hurt him, and you'll make the Yetimites real angry."
"TID_CHARACTER_INFO_YETIMITE","These little guys are super cuddly, but get very angsty when their big friend gets hurt. Hurt him enough, and they will swarm the nearest defense with a terrible purposefulness."
"TID_CHARACTER_INFO_YETI_SHORT","A furry fellow with ferocious little friends."
"TID_CHARACTER_ITEM_ALREADY_OWNED","You already own this Equipment!"
"TID_CHARACTER_LAVALOON","Lavaloon"
"TID_CHARACTER_LAVALOON_PUP","Lavaloon Pup"
"TID_CHARACTER_MAGIC_ARCHER","Super Archer"
"TID_CHARACTER_MECHA_DRAGON","Dragon Rider"
"TID_CHARACTER_MECHA_DRAGON_INFO","This aerial engine of destruction readily and frankly, quite excitedly lays waste to any defense it comes across. The skeleton onboard swears he's not touching the controls."
"TID_CHARACTER_MEGA_SPARKY","Mega Sparky"
"TID_CHARACTER_RAM_RIDER","Ram Rider"
"TID_CHARACTER_RAM_RIDER_CHARGE","Ram Rider Charge"
"TID_CHARACTER_RIDERLESS_HOG","Super Hog"
"TID_CHARACTER_RIDERLESS_HOG_INFO","Without its Rider, the Hog jumps over Walls and attacks defenses. So, what's the Rider even there for, in the first place?"
"TID_CHARACTER_SHAPESHIFTER_DRUID","WIP Shapeshifter Druid"
"TID_CHARACTER_SHAPESHIFTER_DRUID_INFO","WIP Starts as a ground healer and switche to another troops after some time."
"TID_CHARACTER_SIDE_THROWER","Giant Thrower"
"TID_CHARACTER_SIEGE_BATTLE_DRILL","Battle Drill"
"TID_CHARACTER_SIEGE_BATTLE_DRILL_INFO","A fine example of goblin ingenuity, the Battle Drill burrows underground towards the nearest defense. On arrival it pops up to stun and demolish with its dastardly drill."
"TID_CHARACTER_SIEGE_MACHINE_CATAPULT","Flame Flinger"
"TID_CHARACTER_SIEGE_MACHINE_TROOP_CATAPULT","WIP Troop Catapult Prototype"
"TID_CHARACTER_SKELETON_BARREL","Skeleton Barrel"
"TID_CHARACTER_SPEAR_GOBLIN","Spear Goblin"
"TID_CHARACTER_SUPER_HOG_RIDER","Super Hog Rider"
"TID_CHARACTER_SUPER_HOG_RIDER_INFO","This dangerous duo of Hog and Rider are even more superb now. They ride together, they split up and keep fighting together."
"TID_CHARACTER_SUPER_VALKYRIE","Super Valkyrie"
"TID_CHARACTER_SUPER_VALKYRIE_INFO","Not only are Super Valkyries superior to regular Valkyries in every way, they're also way more angry!"
"TID_CHARACTER_SUPER_WITCH","Super Witch"
"TID_CHARACTER_SUPER_WITCH_INFO","Focused magic creates focused results. Instead of summoning hordes of tiny skeletons, Super Witch summons just one really big skeleton with very formidable bone density."
"TID_CHARACTER_TREANT","Root Rider"
"TID_CHARACTER_WATER_DRAGON","Azure Dragon"
"TID_CHARACTER_YETI","Yeti"
"TID_CHARACTER_YETIMITE","Yetimite"
"TID_CHARGED_PEKKA_ABILITY_HELP","Deals <num> damage in a massive explosion when activated"
"TID_CHARGE_LEVEL","Charge Level <number>"
"TID_CHAT_BANNED_PERIOD_OF","You are muted in the global chat for:"
"TID_CHAT_BANNED_REASON","Other players have reported you for inappropriate comments."
"TID_CHAT_BUTTON_ADD_PIN","Pin"
"TID_CHAT_BUTTON_REMOVE_PIN","Unpin"
"TID_CHAT_ENTRY_WAR_SIGNUP_INFO","<cffffff>Sign up for the upcoming Clan War?</c>"
"TID_CHAT_ENTRY_WAR_SIGNUP_NO","<cff6266>You’ve opted out from the next Clan War</c>"
"TID_CHAT_ENTRY_WAR_SIGNUP_TITLE","Clan War Sign-Up"
"TID_CHAT_ENTRY_WAR_SIGNUP_YES","<c6cd900>You’ve opted in for the next Clan War</c>"
"TID_CHAT_ERROR_INVALID_TAGS","You used invalid tags. Please try again."
"TID_CHAT_ERROR_MESSAGE","Failed to send Chat message: {0}"
"TID_CHAT_ERROR_PERMISSION_DENIED","Something went wrong. Please try again later."
"TID_CHAT_ERROR_THROTTLE","Please wait a moment to tag players again."
"TID_CHAT_ERROR_TOO_MANY_TAGS","You tagged too many players in your message."
"TID_CHAT_ERROR_UNDEFINED","Something went wrong. Please try again."
"TID_CHAT_FAIL_BANNED","You have been muted for <time>."
"TID_CHAT_FEATURES_LIST","-Tag a <cff8000>@Player</c> in your message to send them a notification!\n-Tap and hold a message to add a reaction!\n-Messages can be pinned by Leaders and Co-Leaders!"
"TID_CHAT_FEATURE_TITLE","New Chat Features!"
"TID_CHAT_INELIGIBLE_PIN_INFO","Only Leaders and Co-Leaders can pin messages."
"TID_CHAT_INFO","To report inappropriate behavior, tap on the offending message and choose \qReport\q."
"TID_CHAT_JUST_BANNED","Other players have reported you for inappropriate comments. You have been muted for <time>."
"TID_CHAT_JUST_DISABLED","Other players have reported you for inappropriate comments. Your chat has been disabled for <time>."
"TID_CHAT_LANGUAGE","Chat Language"
"TID_CHAT_NO_PINNED_MESSAGES","No currently pinned messages."
"TID_CHAT_PIN_NOTIFICATION_INFO","Send notification to tagged players?"
"TID_CHAT_REPORT_CONFIRMATION","Are you sure you want to report <name> for inappropriate behavior?"
"TID_CHAT_REPORT_CONFIRMATION_TITLE","Report <name>?"
"TID_CHAT_RULES","Chat Rules"
"TID_CHAT_RULES_MUTE","Mute disruptive players in chat."
"TID_CHAT_RULES_OK","I Understand"
"TID_CHAT_RULES_PRIVATE","Always remember to keep your private information private."
"TID_CHAT_RULES_REPORT","Use \qReport\q to let us know about offensive players."
"TID_CHAT_RULES_RESPECT","Respect your fellow Clashers!"
"TID_CHAT_RULES_WARNING","Misconduct may lead to your account being banned."
"TID_CHAT_TAG_ALL_INFO","Tag all Clan Members"
"TID_CHAT_TAG_LEADERS_INFO","Tag Clan Leaders"
"TID_CHAT_TAG_TITLE_ALL","all"
"TID_CHAT_TAG_TITLE_LEADERS","Leaders"
"TID_CHAT_TEXTFIELD_PIN_TEXT","Pinned Message…"
"TID_CHAT_TEXTFIELD_TEXT","Clan Message…"
"TID_CHAT_UNAVAILABLE","Chat disabled for <time>."
"TID_CHAT_WELCOME","Welcome to the global chat.\n\nPlease be respectful and polite towards others. Offensive behavior is not tolerated.\n\nDo not share any private information (email, phone number, address, passwords)!"
"TID_CHIEFSJOURNEY_HUB_TEXT","View <cffcc33>Chief's Journey</c> to see what you’ve unlocked"
"TID_CHIEFS_JOURNEY","Chief's Journey"
"TID_CHINA_REAL_NAME_REGULATION","Registered with real name"
"TID_CHINESE_APP_STORE_CONFLICT_MESSAGE","此微信/QQ帐号已经关联了从其他安卓应用商店下载的相同游戏，不能再次关联。如果您希望使用该微信/QQ帐号重新开始游戏，请从游戏内联系Supercell玩家支持团队。"
"TID_CHOOSE_SPELL_MODE","Choose Spell Mode"
"TID_CHOOSE_WAR_LEAGUE_SIZE","Choose War Size for League"
"TID_CLAIMABLE_GEAR_LOCKED","Item claimable through the Event, Shop, or Trader"
"TID_CLANBADGE_LAYER_0","Background"
"TID_CLANBADGE_LAYER_1","Pattern"
"TID_CLANBADGE_LAYER_2","Border"
"TID_CLANPERK_COMPLETED","Completed!"
"TID_CLANPERK_DESC_BADGE_LEVEL","Clan badge borders unlocked: <value>"
"TID_CLANPERK_DESC_DONATION_LIMIT","Donation limit:"
"TID_CLANPERK_DESC_DONATION_LIMIT_VALUE","<troops> Troops, <spells> Spells, <sieges> Siege Machines"
"TID_CLANPERK_DESC_DONATION_LIMIT_VALUE_SINGLE_SPELL","<troops> troops, 1 spell"
"TID_CLANPERK_DESC_DONATION_REFUND","Donation refund:"
"TID_CLANPERK_DESC_DONATION_REFUND_VALUE","<value>% cost"
"TID_CLANPERK_DESC_DONATION_UPGRADE","Donation upgrade:"
"TID_CLANPERK_DESC_DONATION_UPGRADE_PLURAL","Donated troops are upgraded by <value> levels"
"TID_CLANPERK_DESC_DONATION_UPGRADE_VALUE","<value> level"
"TID_CLANPERK_DESC_DONATION_UPGRADE_VALUE_PLURAL","<value> levels"
"TID_CLANPERK_DESC_LOCKED_VALUE","Unlocked at Clan Level <num>"
"TID_CLANPERK_DESC_TROOP_REQUEST","Donation request wait time:"
"TID_CLANPERK_DESC_TROOP_REQUEST_VALUE","<value> minutes"
"TID_CLANPERK_DESC_WAR_LOOT_CAPACITY","Treasury extra storage:"
"TID_CLANPERK_DESC_WAR_LOOT_CAPACITY_VALUE","<value>%"
"TID_CLANPERK_DESC_WAR_LOOT_MULT","War bonus extra loot:"
"TID_CLANPERK_DESC_WAR_LOOT_MULT_VALUE","<value>%"
"TID_CLANPERK_INFO_TEXT","Earn Clan XP and level up your clan to unlock powerful perks! Clan XP is earned by competing in Clan Wars and Clan Games."
"TID_CLANPERK_UNLOCKED_PERKS","Clan Perks"
"TID_CLANS_SELECTOR_BOOKMARKS","Bookmarks"
"TID_CLANS_SELECTOR_SEARCH","Search"
"TID_CLANS_VS","VS"
"TID_CLAN_ACCESS_DISABLED","Clan interactions are unavailable for <time>"
"TID_CLAN_ADVANCED_SEARCH_RESULTS_NO_NAME","Displaying search results using advanced options"
"TID_CLAN_ADVANCED_SEARCH_RESULTS_WITH_NAME","Displaying search results for \q<name>\q, using advanced options"
"TID_CLAN_AVAILABLE_FOR_RECRUITING_DESC","Do you want to receive join requests from players who are looking for a new Clan?"
"TID_CLAN_AVAILABLE_FOR_RECRUITING_NO","No, thanks."
"TID_CLAN_AVAILABLE_FOR_RECRUITING_TITLE","Looking for Members?"
"TID_CLAN_AVAILABLE_FOR_RECRUITING_YES","Yes, please!"
"TID_CLAN_BADGE_LOCKED","Upgrade your clan to level <num> to unlock this item!"
"TID_CLAN_CAPITAL_LEAGUE","Capital League"
"TID_CLAN_CAPITAL_RESULTS","Capital Results:"
"TID_CLAN_CAPITAL_TROPHIES","Capital Trophies:"
"TID_CLAN_CASTLE_DEFEND","Guard"
"TID_CLAN_CASTLE_LEVEL_TOO_LOW","Receiver's Clan Castle level is too low!"
"TID_CLAN_CASTLE_SLEEP","Sleep"
"TID_CLAN_CASTLE_TROOPS_INSIDE","Reinforcements:"
"TID_CLAN_CHANGED_TEXT","You are no longer member of this clan. Please go back to Home Village."
"TID_CLAN_CHANGED_TITLE","Clan changed"
"TID_CLAN_GAMES","Clan Games"
"TID_CLAN_GAMES_ALREADY_CLAIMED","You already claimed this reward!"
"TID_CLAN_GAMES_ALREADY_DOING_A_CHALLENGE","You already have a Challenge in progress."
"TID_CLAN_GAMES_BONUS_REWARD_AVAILABLE","Get <num> points to choose an extra reward when the Games end!"
"TID_CLAN_GAMES_BONUS_REWARD_UNLOCKED","You can choose your extra reward when the Games end!"
"TID_CLAN_GAMES_BUILDER_THEME","Builder Games"
"TID_CLAN_GAMES_CENTRE","Fairgrounds"
"TID_CLAN_GAMES_CENTRE_INFO","When there's a Clan Game on you can"
"TID_CLAN_GAMES_CHOOSE_A_CHALLENGE","Choose a Challenge"
"TID_CLAN_GAMES_CHOOSE_BONUS_REWARD","Choose Extra Reward"
"TID_CLAN_GAMES_CHOOSE_REWARDS","Choose Rewards"
"TID_CLAN_GAMES_CLAIM_BONUS_REWARD_BUTTON","Claim Reward"
"TID_CLAN_GAMES_CLAIM_REWARDS","Results"
"TID_CLAN_GAMES_CLAN_SCORE","Clan Score:"
"TID_CLAN_GAMES_EXPIRED_TASK","Choose"
"TID_CLAN_GAMES_GET_REWARDS_AFTER_END","Rewards are available when the games end."
"TID_CLAN_GAMES_LEADERBOARD","Clan Results:"
"TID_CLAN_GAMES_LEAVING_SOON_REWARDS","Clan Games are leaving soon, come collect your rewards!"
"TID_CLAN_GAMES_LEAVING_SOON_UNKNOWN_REWARDS","Oops, you forgot to check the results of the Clan Games!"
"TID_CLAN_GAMES_NOT_ENOUGH_POINTS","Not enough points earned to unlock reward."
"TID_CLAN_GAMES_NO_REWARDS_EARNED","Beat at least one challenge and reach clan score reward tiers to earn rewards."
"TID_CLAN_GAMES_REWARDS_IN_TREASURY","Your rewards are in the Clan Castle."
"TID_CLAN_GAMES_REWARDS_RECEIVED","Rewards Received:"
"TID_CLAN_GAMES_REWARD_TIME_COUNTDOWN","Time Left: <time>"
"TID_CLAN_GAMES_SINGLE_LINE","Clan Games"
"TID_CLAN_GAMES_STARTED_NOTIFICATION","Clan Games have begun!"
"TID_CLAN_GAMES_SUMMARY","Summary:"
"TID_CLAN_GAMES_TAKE_A_TASK","Choose"
"TID_CLAN_GAMES_TASK_CLAIMED_ELSEWHERE","Another Clan member took that Challenge"
"TID_CLAN_GAMES_THEME_AUTUMN","Autumn Games"
"TID_CLAN_GAMES_THEME_BIRTHDAY","Birthday Games"
"TID_CLAN_GAMES_THEME_CNY_2018","Festival Games"
"TID_CLAN_GAMES_THEME_DARKHEROIC","Dark &\nHeroic\nGames"
"TID_CLAN_GAMES_THEME_DONATEDESTRUCT","Donation &\n\nDestruction\n\nGames"
"TID_CLAN_GAMES_THEME_HOLIDAY","Holiday Games"
"TID_CLAN_GAMES_THEME_MINIGAMES","Mini Games"
"TID_CLAN_GAMES_THEME_NEW_YEAR","New Year Games"
"TID_CLAN_GAMES_THEME_SPRING","Spring Games"
"TID_CLAN_GAMES_THEME_SUMMER","Summer Games"
"TID_CLAN_GAMES_THEME_WAR","War Games"
"TID_CLAN_GAMES_THEME_WEEKENDGAMES","Weekend Games"
"TID_CLAN_GAMES_THEME_WINTER","Winter Games"
"TID_CLAN_GAMES_TOO_MANY_MEMBERS","Too many people in this Clan have already taken part in the Clan Games."
"TID_CLAN_GAMES_XP","Clan XP:"
"TID_CLAN_GATE","Clan Banner"
"TID_CLAN_HAS_REQUEST_ALREADY","Clan has pending Friendly War challenge"
"TID_CLAN_HAS_TOO_FEW_MEMBERS","Clan does not have enough members"
"TID_CLAN_HOUSE_NAME_OCCUPIED","<name>'s House"
"TID_CLAN_HOUSE_NAME_UNOCCUPIED","Vacant House"
"TID_CLAN_INFO","Clan Info"
"TID_CLAN_IS_ALREADY_IN_WAR","Clan is already in a war"
"TID_CLAN_JOIN_FAIL_ALREADY_IN_CLAN","You are already in a clan!"
"TID_CLAN_JOIN_FAIL_ALREADY_SENT","Wait before sending another request to join this clan!"
"TID_CLAN_JOIN_FAIL_BANNED","Can't join, you have been banned from this clan!"
"TID_CLAN_JOIN_FAIL_CLOSED","Clan is closed!"
"TID_CLAN_JOIN_FAIL_FULL","Clan is full!"
"TID_CLAN_JOIN_FAIL_GENERIC","Unable to join the clan!"
"TID_CLAN_JOIN_FAIL_NO_DUEL_SCORE","You don't have enough Builder Battle trophies to join this clan!"
"TID_CLAN_JOIN_FAIL_NO_SCORE","You don't have enough trophies to join this clan!"
"TID_CLAN_JOIN_FAIL_NO_TOWN_HALL_LEVEL","Your Town Hall level is too low to join this clan!"
"TID_CLAN_JOIN_FAIL_TOO_MANY_PENDING_REQUESTS","Unable to join the clan at this time. Please try again later."
"TID_CLAN_LANGUAGE_UNKNOWN","Not set"
"TID_CLAN_LEADER","Clan Leader:"
"TID_CLAN_LOCALE","Clan Location:"
"TID_CLAN_LOCATION_UNKNOWN","Not set"
"TID_CLAN_MEMBERS","Members:"
"TID_CLAN_MEMBERS_COUNT","Members <count>/<max>"
"TID_CLAN_MEMBER_COUNT","Members:"
"TID_CLAN_MEMBER_NOT_DOING_CHALLENGE","<name> is not working on a Challenge."
"TID_CLAN_MINIMUM_TOWN_HALL_LEVEL","Required Town Hall level:"
"TID_CLAN_MINIMUM_TROPHYS","Required trophies:"
"TID_CLAN_MIN_LEVEL","Minimum clan level"
"TID_CLAN_MIN_TROPHIES","Minimum clan points:"
"TID_CLAN_NOTICE_TITLE","Clan Notice"
"TID_CLAN_PERK_BONUS","Perk Bonus"
"TID_CLAN_RAIDS","Clan Raids"
"TID_CLAN_RECRUITMENT_OPT_IN_ITEM_TEXT","Enable receiving invitations from Clans"
"TID_CLAN_RECRUITMENT_OPT_IN_ITEM_TITLE","Rather have Clans look for you?"
"TID_CLAN_SEARCH_NO_RESULTS","No search results found"
"TID_CLAN_SEARCH_OPTIONS","More\nOptions..."
"TID_CLAN_SEARCH_RESULTS","Displaying search results for \q<name>\q"
"TID_CLAN_SETTINGS","Clan Settings"
"TID_CLAN_SETTINGS_NO","No"
"TID_CLAN_SETTINGS_YES","Yes"
"TID_CLAN_SHOW_ONLY_JOINABLE","Only clans I can join:"
"TID_CLAN_STATUS_ACTIVE","Active"
"TID_CLAN_STATUS_CHAT","Chat:"
"TID_CLAN_STATUS_DONATIONS","Donations:"
"TID_CLAN_STATUS_VERY_ACTIVE","Very Active"
"TID_CLAN_STATUS_WARS","Wars"
"TID_CLAN_STAT_DEFEATS","Defeats:"
"TID_CLAN_STAT_VICTORIES","Victories:"
