"TID","NL"
"TID_BUILDING_REQUIRED","<building> vereist"
"TID_BUILDING_RICOCHET_CANNON","Kaatskanon"
"TID_BUILDING_SCATTERSHOT","Hapsnap"
"TID_BUILDING_SCATTERSHOT_INFO","De hapsnap vuurt enorm zware stapels van slecht vastgebonden stenen naar vijanden die het dichtst in de buurt zijn. De stapels breken bij impact uit elkaar en brengen extra schade toe aan de achterliggende troepen."
"TID_BUILDING_SPELL_FORGE","Spreukenfabriek"
"TID_BUILDING_SPELL_TOWER","Spreukentoren"
"TID_BUILDING_SPELL_TOWER_INFO","Jarenlang waren het enkel de tovenaars die met hun vuurballen magie op het slagveld gebruikten. Nu hebben ze het gebruik van magie volledig geautomatiseerd zodat je dorp op meerdere manieren aanvallers kan afstoten."
"TID_BUILDING_STATUS","Verdedigingswerken"
"TID_BUILDING_SUPER_TROOP_ALERT","Transformeren"
"TID_BUILDING_TELESCOPE","Sterrenlaboratorium"
"TID_BUILDING_TESLA_TOWER","Verborgen Tesla"
"TID_BUILDING_TESLA_TOWER2","Verborgen Tesla"
"TID_BUILDING_TEXT_ALERT","!!!"
"TID_BUILDING_TEXT_CREATE_SPELL","Brouwen"
"TID_BUILDING_TEXT_FULL","Vol!"
"TID_BUILDING_TEXT_LOW_AMMO","Weinig munitie"
"TID_BUILDING_TEXT_NO_AMMO","Leeg"
"TID_BUILDING_TEXT_REQUEST","Verzoek"
"TID_BUILDING_TEXT_RESEARCH","Onderzoek"
"TID_BUILDING_TEXT_TRAIN","Trainen"
"TID_BUILDING_TOWN_HALL","Stadhuis"
"TID_BUILDING_TOWN_HALL2","Bouwerszaal"
"TID_BUILDING_UNDER_CONSTRUCTION","<building> wordt momenteel gebouwd."
"TID_BUILDING_WALL","Muur"
"TID_BUILDING_WIZARD_TOWER","Tovenaarstoren"
"TID_BUILDING_XBOW2","X-boog"
"TID_BUILDING_XBOW2_INFO","De X-boog schiet angstaanjagend krachtige schichten. Je kunt de boog inzetten tegen grond- of luchteenheden."
"TID_BUILD_TIME","Bouwtijd"
"TID_BUILD_TIME_INSTANT","Geen"
"TID_BUILD_TRAINING_GROUNDS","Bouw eerst een legerkamp."
"TID_BUNDLE_BUY_CONFIRMATION","<ce53cff><bundle> ontvangen!</c>"
"TID_BUNDLE_GEMS_CONFIRMATION","<ce53cff><amount> edelstenen ontvangen!</c>"
"TID_BUNDLE_RESOURCE","Grondstoffenpakket"
"TID_BUNDLE_TOWN_HALL","Stadhuis-startpakket"
"TID_BUNDLE_UPDATE","Speciaal updatepakket"
"TID_BURST_SIZE","Salvo: <number> schoten"
"TID_BUTTON_ACCEPT","Accepteren"
"TID_BUTTON_APPBANK","AppBank-gids"
"TID_BUTTON_ASSIGN","Toewijzen"
"TID_BUTTON_ATTACK","Aanvallen!"
"TID_BUTTON_ATTACK_MODE_AIR","Lucht"
"TID_BUTTON_ATTACK_MODE_AIR_AND_GROUND","Lucht en grond"
"TID_BUTTON_ATTACK_MODE_BURST","Salvo"
"TID_BUTTON_ATTACK_MODE_FAR_SLOW","Lange afstand"
"TID_BUTTON_ATTACK_MODE_GROUND","Grond"
"TID_BUTTON_ATTACK_MODE_MULTIPLE","Meer"
"TID_BUTTON_ATTACK_MODE_NEAR_FAST","Snelle aanval"
"TID_BUTTON_ATTACK_MODE_NORMAL","Normaal"
"TID_BUTTON_ATTACK_MODE_SINGLE","Eén"
"TID_BUTTON_BOOST","Boost"
"TID_BUTTON_BOOSTS","Boosts"
"TID_BUTTON_BOOST_ALL","Alles boosten"
"TID_BUTTON_BOOST_BUILDERS","Bouwvakkers boosten"
"TID_BUTTON_BUY","Kopen"
"TID_BUTTON_BUY_SKIN","Kopen"
"TID_BUTTON_CANCEL","Annuleren"
"TID_BUTTON_CANCEL_PRESET","Annuleren"
"TID_BUTTON_CAPITAL_MAP","Kaart"
"TID_BUTTON_CHANGE_SPELL","Kies een spreuk"
"TID_BUTTON_CHANGE_VILLAGE","Reizen"
"TID_BUTTON_CLAN_MAIL_NEXT","Volgende bericht over:"
"TID_BUTTON_CLAN_MAIL_SEND","Bericht sturen"
"TID_BUTTON_CLAN_NOTICE_BOARD",
"TID_BUTTON_CLAN_NOTICE_DESCRIPTION",
"TID_BUTTON_CLAN_NOTICE_MESSAGE",
"TID_BUTTON_CLAN_NOTICE_PUBLISH","Bericht publiceren"
"TID_BUTTON_CLAN_NOTICE_PUBLISH_INFO_1","Je hebt momenteel geen actief clanbericht."
"TID_BUTTON_CLAN_NOTICE_PUBLISH_INFO_2","Je clanbericht is momenteel actief."
"TID_BUTTON_CLAN_SEND_REQUEST","Verzoek versturen"
"TID_BUTTON_CLAN_WAR_HISTORY","Oorlogs-\nlogboek"
"TID_BUTTON_CLAN_WAR_MATCHED_START","Uitdagen"
"TID_BUTTON_CLEAR","Verwijderen"
"TID_BUTTON_CLOCKTOWER_SPEEDUP","Boost geven"
"TID_BUTTON_CLOCK_TOWER_BOOST","Gratis boost!"
"TID_BUTTON_COLLECT","Verzamelen"
"TID_BUTTON_CONFIRM","OK"
"TID_BUTTON_CONFLICTING_ACCOUNT_NO","Nee, gebruik het oorspronkelijke account."
"TID_BUTTON_CONFLICTING_ACCOUNT_YES","Ja, wissel naar het huidige account."
"TID_BUTTON_CREATE_PRESET","Creëren"
"TID_BUTTON_CREATE_SPELL","Brouwen"
"TID_BUTTON_CUSTOMIZE_BUILDING","Aanpassen"
"TID_BUTTON_DISABLED_GAMES_ENDING_SOON","Loopt binnenkort af"
"TID_BUTTON_DISABLED_PICK_ALL_REWARDS","Kies een beloning voor elke bereikte beloningsdrempel."
"TID_BUTTON_DISABLED_PICK_A_REWARD","Kies een beloning voor een bereikte beloningsdrempel."
"TID_BUTTON_DISABLED_RESOURCE_REWARD_WOULD_OVERFLOW","Er is niet genoeg ruimte in je schatkamer voor deze beloning: <reward>.\nMaak ruimte vrij of kies een andere beloning."
"TID_BUTTON_DISABLED_REWARD_WOULD_OVERFLOW","Er is niet genoeg ruimte in je opslag voor deze beloning: <reward>.\nMaak ruimte vrij of kies een andere beloning."
"TID_BUTTON_DISABLE_TUTORIAL","Tutorial afsluiten"
"TID_BUTTON_DONE","Klaar"
"TID_BUTTON_EDIT","Leger bewerken"
"TID_BUTTON_EDIT_CLAN_SETTINGS","Claninstellingen aanpassen"
"TID_BUTTON_EDIT_PRESET","Bewerken"
"TID_BUTTON_EDIT_TAG","Labels"
"TID_BUTTON_ENABLE_TUTORIAL","Tutorial spelen"
"TID_BUTTON_ENERGIZE","Genezen"
"TID_BUTTON_EQUIP","Gebruiken"
"TID_BUTTON_FBPAGE","Nieuwste updates"
"TID_BUTTON_FIGHT","Start!"
"TID_BUTTON_FIND_NOW","Nu zoeken"
"TID_BUTTON_FREE","GRATIS"
"TID_BUTTON_GEAR_UP","Verbeteren"
"TID_BUTTON_GENERATE_CODE","Koppelcode"
"TID_BUTTON_GENERATE_CODE_TEXT","Zet je dorp over naar een andere Android App Store. Als je je dorp overzet, zijn je gegevens veilig!"
"TID_BUTTON_GENERATE_CODE_TITLE","Account overzetten"
"TID_BUTTON_GET_GIFT","Cadeau ophalen"
"TID_BUTTON_GLOBAL_HIGHSCORE","Wereldwijd"
"TID_BUTTON_GO","Gaan"
"TID_BUTTON_HELP_CENTER","Meer hulp"
"TID_BUTTON_HERO_PATROL","Bewaken"
"TID_BUTTON_HERO_SLEEP","Slapen"
"TID_BUTTON_HOME","Naar huis"
"TID_BUTTON_INFO","Info"
"TID_BUTTON_JOIN","Meedoen"
"TID_BUTTON_LOAD","Laden"
"TID_BUTTON_LOCAL_HIGHSCORE","Lokaal"
"TID_BUTTON_LOGIN","Aanmelden"
"TID_BUTTON_NOTE","Let op"
"TID_BUTTON_OKAY","Oké"
"TID_BUTTON_PET_SHOP","Dieren"
"TID_BUTTON_PLAY","Spelen"
"TID_BUTTON_PROCEED","Doorgaan"
"TID_BUTTON_RAID","Roof"
"TID_BUTTON_RATE_APP_LATER","Later"
"TID_BUTTON_RATE_APP_NEVER","Nooit"
"TID_BUTTON_RATE_APP_REVIEW","Beoordelen"
"TID_BUTTON_REJECT","Weigeren"
"TID_BUTTON_REPAIR","Repareren"
"TID_BUTTON_REPAIR_TRAP","Herladen"
"TID_BUTTON_REPAIR_TRAP_ALL","Alles herladen"
"TID_BUTTON_REPLAY","Herhaling"
"TID_BUTTON_REQUEST_TROOPS","Verzoek"
"TID_BUTTON_RESET_NOW","Meer halen"
"TID_BUTTON_RETRY","Opnieuw proberen"
"TID_BUTTON_RETURN_TO_WAR","Oorlogs-\nkaart"
"TID_BUTTON_ROTATE","Draaien"
"TID_BUTTON_ROTATE_MORE","Rij draaien"
"TID_BUTTON_SAVE_PRESET","Opslaan"
"TID_BUTTON_SCENERY","Omgeving wijzigen"
"TID_BUTTON_SELECT","Start!"
"TID_BUTTON_SELECT_MORE","Hele rij kiezen"
"TID_BUTTON_SELECT_SKIN","Selecteren"
"TID_BUTTON_SELL","Verkopen"
"TID_BUTTON_SEND","Versturen"
"TID_BUTTON_SEND_AWAY_MASTERBUILDER","Reizen"
"TID_BUTTON_SEND_WAR_SIGNUP","Aanmelding voor clanoorlog versturen"
"TID_BUTTON_SET","Bevestigen"
"TID_BUTTON_SHARE_LAYOUT_CHAT","Delen in clanchat"
"TID_BUTTON_SHARE_LAYOUT_LINK","Delen als link"
"TID_BUTTON_SHOP","Winkel"
"TID_BUTTON_SIGN_IN","Aanmelden"
"TID_BUTTON_SPEEDUP","Nu voltooien"
"TID_BUTTON_SPEED_UP_REQUEST_TROOPS","Vraag nu!"
"TID_BUTTON_START_MATCHMAKE","Nu zoeken"
"TID_BUTTON_STORE_DECO","Opslaan"
"TID_BUTTON_SWAP","Omruilen"
"TID_BUTTON_SWAP_SKIN","Skins"
"TID_BUTTON_TRADE","Ruilen"
"TID_BUTTON_TRAIN","Troepen trainen"
"TID_BUTTON_TRAIN_PRESET","Trainen"
"TID_BUTTON_TRAIN_PRESETS","Snel trainen"
"TID_BUTTON_TREASURY","Schatkamer"
"TID_BUTTON_TREASURY2","Magische artefacten"
"TID_BUTTON_TRY_AGAIN","Opnieuw spelen"
"TID_BUTTON_UPGRADE","Upgraden"
"TID_BUTTON_UPGRADE_SELECTION","Upgradekeuze"
"TID_BUTTON_UPGRADE_TROOPS","Onderzoek"
"TID_BUTTON_UPGRADE_WEAPON","Wapen upgraden"
"TID_BUTTON_USE","Gebruiken"
"TID_BUTTON_USE_FILL_STORAGE_BOOSTER","Vullen"
"TID_BUTTON_VIEW","Bekijken"
"TID_BUTTON_VIEW_SKIN","Skin bekijken"
"TID_BUTTON_VILLAGE_LOAD","Laden"
"TID_BUTTON_WAR_ATTACK_CONFIRM_ATTACK","Aanvallen"
"TID_BUTTON_WATCH","Bekijken"
"TID_BUTTON_WATCH_EXCL","Bekijken"
"TID_BUY_BUILDING_COMING_SOON","Binnenkort verwacht: <target>!"
"TID_BUY_GUARD_HEADER","Bescherming kopen?"
"TID_BUY_LAYOUT_SLOT_HEADER","Nieuw vak?"
"TID_BUY_LAYOUT_SLOT_TEXT","Weet je zeker dat je een nieuw indelingsvak wilt kopen?"
"TID_BUY_MISSING_RESOURCES_HEADER","Niet genoeg <resource>"
"TID_BUY_MISSING_RESOURCES_HEADER_TWO","Je hebt meer grondstoffen nodig"
"TID_BUY_MISSING_RESOURCES_TEXT","Wil je de ontbrekende <count> eenheden <resource> kopen?"
"TID_BUY_MISSING_RESOURCES_TEXT_TWO","De ontbrekende <count> <resource> en <count2> <resource2> kopen?"
"TID_BUY_MULTIPLE_BOOSTERS","<amount>x <name>"
"TID_BUY_MULTIPLE_MISSING_RESOURCES_HEADER","Je hebt meer grondstoffen nodig."
"TID_BUY_MULTIPLE_MISSING_RESOURCES_TEXT_N2","Wil je edelstenen gebruiken om de ontbrekende <count1> <resource1> en <count2> <resource2> te kopen?"
"TID_BUY_MULTIPLE_MISSING_RESOURCES_TEXT_N3","Wil je de ontbrekende <count1> <resource1>, <count2> <resource2> en <count3> <resource3> kopen?"
"TID_BUY_PREV_SLOT_FIRST","Koop het vorige vak eerst"
"TID_BUY_PRIZE_SHOP_ITEM_HEADER","<item> kopen?"
"TID_BUY_PRIZE_SHOP_ITEM_MULTI_HEADER","<num>x een <item> kopen?"
"TID_BUY_PRIZE_SHOP_ITEM_MULTI_TEXT","Weet je zeker dat je <num>x een <item> wilt kopen?"
"TID_BUY_PRIZE_SHOP_ITEM_TEXT","Weet je zeker dat je een <item> wilt kopen?"
"TID_BUY_RESOURCES_STORAGE_FULL","Je opslag kan niet alle grondstoffen (<item>) bevatten.\nWil je alleen <num>x <item> kopen?"
"TID_BUY_RESOURCE_PACK_HEADER","<resource> kopen?"
"TID_BUY_RESOURCE_PACK_TEXT","Weet je zeker dat je <count> <resource> wilt kopen?"
"TID_BUY_SHIELD","Schild kopen"
"TID_BUY_SHIELD_HEADER","Schild kopen?"
"TID_BUY_SHIELD_TEXT","Weet je zeker dat je een <name> wilt kopen?"
"TID_BUY_SHIELD_WHILE_GUARDED_TEXT","Weet je zeker dat je een <name> wilt kopen?\n<cff0000>OPMERKING: hierdoor wordt je actieve bescherming verwijderd</c>"
"TID_CADPA","《部落冲突》适龄提示：\n1）本游戏是一款战争策略类游戏，适用于年满12周岁及以上的用户，建议未成年人在家长监护下使用游戏产品。\n2）本游戏以荒蛮原始的孤岛为背景，讲述了原始部落为生存而相互抗争的故事，涉及的情节、环境、场景均为虚构，不会与现实生活相混淆。游戏玩法基于一定难度的思维判断，设有竞技对抗比赛，鼓励玩家提升和挑战自我。游戏中有基于文字和语音的陌生人社交系统。\n3）根据国家相关要求，游戏中有用户实名认证系统，未通过实名认证的用户不可进入游戏；认证为未成年人的用户除周五、周六、周日及法定节假日每日20时至21时外其他时间均不可进入游戏。\n游戏中部分玩法和道具需要付费。根据腾讯健康系统管理规定，认证为未成年人的用户将接受以\n管理：\n未满12周岁的用户不能付费；12周岁以上未满16周岁的未成年人用户，单次充值金额不得超过50元人民币，每月充值金额累计不得超过200元人民币；16周岁以上的未成年人用户，单次充值金额不得超过100元人民币，每月充值金额累计不得超过400元人民币。\n4）本游戏内所包含的对抗玩法需要玩家进行策略规划和推理判断，有助于帮助玩家提升逻辑思维能力。游戏设有需组队进行的大型团队任务和比赛，鼓励玩家互相配合完成比赛，有助于培养玩家的团队协作能力。游戏提供了丰富的社交系统，包括好友、公会等，玩家之间可以互相交流，互相配合，共同完成游戏任务，有助于促进玩家的社会交流，维持良好的社群关系。"
"TID_CAMP_FIRE_DECO","Koboldenkampvuur"
"TID_CANCEL","Annuleren"
"TID_CANCELLING","Annuleren..."
"TID_CANCEL_BOOST_CONFIRMATION","Als je het gebouw upgradet, beëindig je de boost. Weet je het zeker?"
"TID_CANCEL_BOOST_CONFIRMATION_TITLE","Boost beëindigen?"
"TID_CANCEL_CREATOR_SUPPORT_BUTTON","Niet langer steunen"
"TID_CANCEL_FRIENDLY_WAR_HEADER","Uitdaging weigeren?"
"TID_CANCEL_FRIENDLY_WAR_SENDER_HEADER","Uitdaging annuleren?"
"TID_CANCEL_FRIENDLY_WAR_SENDER_TEXT","Wil je de uitdaging voor een vriendschappelijke oorlog annuleren?"
"TID_CANCEL_FRIENDLY_WAR_TEXT","Wil je de uitdaging voor een vriendschappelijke oorlog weigeren? Nieuwe uitdagingen van deze clan worden tijdelijk geblokkeerd."
"TID_CANCEL_HERO_BOOST_CONFIRMATION","De boost eindigt als je de held upgradet. Weet je het zeker?"
"TID_CANCEL_WAR_ARRANGED_MATCHMAKING_CONFIRMATION_TEXT","Weet je zeker dat je de uitdaging voor een vriendschappelijke oorlog wilt annuleren?"
"TID_CANCEL_WAR_ARRANGED_MATCHMAKING_CONFIRMATION_TITLE","Uitdaging annuleren?"
"TID_CANCEL_WAR_MATCHMAKING_CONFIRMATION_TEXT","Als je het zoeken stopt en opnieuw begint, zal de zoektijd niet korter worden. In sommige gevallen kan het zelfs langer duren. Weet je zeker dat je wil stoppen met zoeken?"
"TID_CANCEL_WAR_MATCHMAKING_CONFIRMATION_TITLE","Stoppen met zoeken?"
"TID_CANCLE_SPELL_INFO","Let op! Het verwijderen van spreuken uit de wachtrij levert slechts <number>% van de kosten op."
"TID_CANCLE_TRAINING_INFO","Let op! Het verwijderen van troepen uit de wachtrij levert slechts <number>% van de kosten op."
"TID_CANNON2_INFO","Het iconische grondverdedigingswerk. Van deze klassieker wordt de meesterbouwer een beetje sentimenteel."
"TID_CANNON_ABILITY_HELP","Het kanon blijft vuren nadat de kar is vernietigd met <num2> tijdelijke levenspunten."
"TID_CANNON_ABILITY_NAME","Wanhoopsdaad"
"TID_CANNON_CART_MORTAR_MODE","Mortiermodus"
"TID_CANNON_CART_MORTAR_MODE_UPGRADE_INFO","Verhoogt de aanvalsschade van de mortiermodus naar <num>."
"TID_CANNOT_ADD_MEMBER_TO_WAR_COOLDOWN","Deze speler is nog niet beschikbaar voor een oorlog"
"TID_CANNOT_SWITCH_TO_ACCOUNT_WITHOUT_SUPERCELL_ID","Het dorp van Chief <name> met stadhuislevel <number> is gevonden. Laad het nu door je aan te melden met je Supercell ID."
"TID_CANNOT_SWITCH_TO_ACCOUNT_WITHOUT_TENCENT_ID","Het dorp van Chief <name> met stadhuislevel <number> is gevonden. Wil je het dorp laden door je aan te melden met het geregistreerde WeChat- of QQ-account?"
"TID_CANT_SIGN_UP_RAID_NO_ARMY","Bereik capitoollevel 2 om deel te nemen aan roofweekenden!"
"TID_CANT_START_PVP_VILLAGE_EDIT_OPEN","Sluit eerst de bewerkingsmodus voor je dorp."
"TID_CAN_COPY_ONLY_SAME_BH_TO_YOUR_OWN","Je moet hetzelfde bouwerszaallevel hebben om de indeling te kopiëren."
"TID_CAN_COPY_ONLY_SAME_CH_TO_YOUR_OWN","Je Capitool moet van hetzelfde level zijn om de indeling te kopiëren."
"TID_CAN_COPY_ONLY_SAME_DH_TO_YOUR_OWN","Je districtshuis moet van hetzelfde level zijn om de indeling te kopiëren."
"TID_CAN_COPY_ONLY_TH_CLOSER_TO_YOUR_OWN","Je kunt de indeling met een stadhuis dat meer dan één level hoger of lager is dan het jouwe niet kopiëren."
"TID_CAPACITY_LEFT_INDICATOR_TEXT","Over"
"TID_CAPBUILD_AIRBOMBS","Luchttonnen"
"TID_CAPBUILD_AIRBOMBS_INFO","Voor een krachtige luchtafweer zijn luchttonnen je beste keuze. Een eindeloze voorraad explosieve tonnen vliegt door de lucht en rijt vliegende vijanden uiteen."
"TID_CAPBUILD_AIR_DEFENSE","Luchtafweer"
"TID_CAPBUILD_AIR_DEFENSE_INFO","Dit luchtafweergeschut is dodelijk voor vliegende vijanden, maar richt niets uit tegen grondtroepen. Zet de toren zo neer dat deze zoveel mogelijk luchtruim bestrijkt."
"TID_CAPBUILD_ARMY_FIELD_INFO","Een mooi veld waarop het leger van je clan kan uitrusten terwijl ze wachten op rooftochten. Het kan geüpgraded worden om de beschikbare ruimte te vergroten."
"TID_CAPBUILD_BARRACKS_ARCHER","Geniepige-boogschutterskazerne"
"TID_CAPBUILD_BARRACKS_ARCHER_INFO","Trainingsveld voor geniepige boogschutters. Pas op voor geniepig rondvliegende pijlen."
"TID_CAPBUILD_BARRACKS_BALLOON","Rakettenballonnenkazerne"
"TID_CAPBUILD_BARRACKS_BALLOON_INFO","Er is geen tijd voor veiligheid als er rakettenballonnen gebouwd worden. De enige regel is snelheid voorop!"
"TID_CAPBUILD_BARRACKS_BARBARIAN","Superbarbarenkazerne"
"TID_CAPBUILD_BARRACKS_BARBARIAN_INFO","Trainingsveld voor superbarbaren. Het stinkt naar spiermassa en zweet."
"TID_CAPBUILD_BARRACKS_BATTLERAM","Strijdrammenkazerne"
"TID_CAPBUILD_BARRACKS_BATTLERAM_INFO","Deze kanjer heeft ruimte voor tal van strijdrammen!"
"TID_CAPBUILD_BARRACKS_CANNONCART","Plunderkarrenkazerne"
"TID_CAPBUILD_BARRACKS_CANNONCART_INFO","Werkplaats voor plunderkarren. Het is nu duidelijk hoe de karren in elkaar gezet worden, maar waar komen die barbaren vandaan?"
"TID_CAPBUILD_BARRACKS_DRAGON","Superdrakenkazerne"
"TID_CAPBUILD_BARRACKS_DRAGON_INFO","Achteraf was hout misschien niet het beste materiaal om een verblijf voor draken mee te bouwen. Het is een wonder dat het gebouw nog niet in de fik is gevlogen."
"TID_CAPBUILD_BARRACKS_GIANT","Superreuzenkazerne"
"TID_CAPBUILD_BARRACKS_GIANT_INFO","Hier wonen de superreuzen. Ze laten werkelijk overal trainingsapparatuur slingeren!"
"TID_CAPBUILD_BARRACKS_HOG_RIDER","Varkensplunderaarskazerne"
"TID_CAPBUILD_BARRACKS_HOG_RIDER_INFO","Je hoort de hele tijd geschreeuw daar binnen. Misschien zijn de ruiters en vliegers blij om elkaar te zien."
"TID_CAPBUILD_BARRACKS_INFERNO_DRAGON","Infernodrakenkazerne"
"TID_CAPBUILD_BARRACKS_INFERNO_DRAGON_INFO","Een leuke plek voor infernodraken om samen te relaxen. De kazerne is gemaakt van het meest brandwerende materiaal dat de grote bouwer kon vinden."
"TID_CAPBUILD_BARRACKS_MEGAAIR","Vliegende-fortenveld"
"TID_CAPBUILD_BARRACKS_MEGAAIR_INFO","Een constructieplek voor vliegende forten. Het veld bevindt zich hoog in de bergen omdat de bouwer niet zeker was of de forten zouden vliegen."
"TID_CAPBUILD_BARRACKS_MEGAGROUND","Berggolemgroeve"
"TID_CAPBUILD_BARRACKS_MEGAGROUND_INFO","Een reusachtig gat in de grond in de vorm van een golem. Hopelijk is er niet elke keer een nieuw gat nodig."
"TID_CAPBUILD_BARRACKS_MEGAPEKKA","Kracht-P.E.K.K.A.-kazerne"
"TID_CAPBUILD_BARRACKS_MEGAPEKKA_INFO","Hoe past de kracht-P.E.K.K.A. hier ooit in?"
"TID_CAPBUILD_BARRACKS_MEGA_SPARKY","Werkplaats voor Mega-Vonkje"
"TID_CAPBUILD_BARRACKS_MEGA_SPARKY_INFO","Hier worden Mega-Vonkjes tot leven gebracht door herhaaldelijke blikseminslagen in glazen bollen. Dat is genoeg om de haren van voorbijgangers overeind te laten staan."
"TID_CAPBUILD_BARRACKS_MINION","Gunstelingenkazerne"
"TID_CAPBUILD_BARRACKS_MINION_INFO","Dankzij een nieuwe methode kunnen er nu horden gunstelingen tegelijk worden geproduceerd."
"TID_CAPBUILD_BARRACKS_SKELETON_BARREL","Skelettentonnenkazerne"
"TID_CAPBUILD_BARRACKS_SKELETON_BARREL_INFO","Dit is eigenlijk een tonnenwerkplaats met een kerkhof ernaast die gerund wordt door een ballonnenverkoper."
"TID_CAPBUILD_BARRACKS_SUPER_DRAGON","Superdrakenkazerne"
"TID_CAPBUILD_BARRACKS_SUPER_DRAGON_INFO","Achteraf was hout misschien niet het beste materiaal om een verblijf voor draken mee te bouwen. Het is een wonder dat het gebouw nog niet in de fik is gevlogen."
"TID_CAPBUILD_BARRACKS_SUPER_MINER","Supermijnwerkerskazerne"
"TID_CAPBUILD_BARRACKS_SUPER_MINER_INFO","Een fijne hangplek voor supermijnwerkers. Heel aards met een rijke zweem van boorolie."
"TID_CAPBUILD_BARRACKS_WIZARD","Supertovenaarskazerne"
"TID_CAPBUILD_BARRACKS_WIZARD_INFO","Een kazerne voor supertovenaars. Door al die explosies kun je beter niet te dichtbij komen."
"TID_CAPBUILD_BLAST_BOW","Ballista"
"TID_CAPBUILD_BLAST_BOW_INFO","De ballista geeft eindelijk antwoord op die eeuwenoude vraag: hoe gevaarlijk zouden pijlen ter grote van een boomstam zijn? Het zal je niet verrassen: heel gevaarlijk."
"TID_CAPBUILD_BOMBTOWER","Bomtoren"
"TID_CAPBUILD_BOMBTOWER_INFO","Bomtorens bombarderen omringende grondtroepen en exploderen met een grote knal als ze worden vernietigd. Mêleetroepen kunnen maar beter afstand houden!"
"TID_CAPBUILD_CANNON","Kanon"
"TID_CAPBUILD_CANNON_INFO","Dit kanon is traag met vuren, maar des te krachtiger. Helaas kan het niet ver genoeg omhoog draaien om luchtdoelen te raken."
"TID_CAPBUILD_CAPHQ","Capitool"
"TID_CAPBUILD_CAPHQ_INFO","Het hart van de hoofdstad! Upgrade het Capitool om nieuwe districten en meer gebouwenupgrades te ontgrendelen op de Capitoolberg."
"TID_CAPBUILD_CRUSHER","Vermorzelaar"
"TID_CAPBUILD_CRUSHER_INFO","De vermorzelaar is enorm gesteld op persoonlijke ruimte. Deze kolossale steen verplettert grondeenheden met een gigantische dreun."
"TID_CAPBUILD_DISHQ","Districtshuis"
"TID_CAPBUILD_DISHQ_INFO","Dorpelingen en de grote bouwvakker zorgen vanuit hier voor het district. Upgrade het districtshuis om extra gebouwenupgrades te ontgrendelen in dit district."
"TID_CAPBUILD_GOBLIN_HALL","Koboldenzaal"
"TID_CAPBUILD_GOBLIN_HALL_INFO","Een eng stille koboldenzaal, zonder de gebruikelijke geluiden van klaterend goud en kobolden die snode plannen beramen."
"TID_CAPBUILD_GOBLIN_HUT","Koboldenhut"
"TID_CAPBUILD_GOBLIN_HUT_INFO","Een lege koboldenhut. Misschien is die te koop?"
"TID_CAPBUILD_GOBLIN_OUTPOST","Koboldbuitenpost"
"TID_CAPBUILD_GOBLIN_OUTPOST_INFO","Een verlaten koboldbuitenpost. Waar is iedereen gebleven?"
"TID_CAPBUILD_GUARDPOST_CART","Plunderkarrenpost"
"TID_CAPBUILD_GUARDPOST_CART_INFO","Als plunderkarren emoties hadden, zouden ze blij worden van het beschieten van aanvallers."
"TID_CAPBUILD_GUARDPOST_DRAGONS","Superdrakenpost"
"TID_CAPBUILD_GUARDPOST_DRAGONS_INFO","Superdraken zijn erg territoriaal en zullen alle aanvallers roosteren."
"TID_CAPBUILD_GUARDPOST_GIANTS","Superreuzenpost"
"TID_CAPBUILD_GUARDPOST_GIANTS_INFO","Superreuzen staan klaar om een stevige dreun uit te delen aan aanvallende troepen."
"TID_CAPBUILD_INFERNO","Infernotoren"
"TID_CAPBUILD_INFERNO_INFO","De infernotoren is de schrik van alle grote troepen. Als de toren op eenheden gericht blijft, kan deze vernietigende schade aanrichten."
"TID_CAPBUILD_MEGATESLA","Verborgen mega-Tesla"
"TID_CAPBUILD_MEGATESLA_INFO","De verborgen mega-Tesla deelt een krachtige stoot uit om zware schade toe te brengen aan zelfs de meest geharde eenheden."
"TID_CAPBUILD_MINION_CRYPT","Minigunstelingenkorf"
"TID_CAPBUILD_MINION_CRYPT_INFO","Dit verdedigingswerk is gebouwd op een ondergrondse korf en gaat open om een zwerm enorm territoriale en extreem gevaarlijke minigunstelingen los te laten die elke aanvaller uitschakelen."
"TID_CAPBUILD_MULTICANNON","Multikanon"
"TID_CAPBUILD_MULTICANNON_INFO","Een kanon met meerdere lopen."
"TID_CAPBUILD_MULTIMORTAR","Multimortier"
"TID_CAPBUILD_MULTIMORTAR_INFO","Vuurt meerdere schoten af die gebiedsschade veroorzaken over een lange afstand, waardoor de kans om het doelwit te raken optimaal is."
"TID_CAPBUILD_RAPID_ROCKETS","Rappe raketten"
"TID_CAPBUILD_RAPID_ROCKETS_INFO","Deze opeengepakte bundel raketten heeft een korter bereik dan de luchtafweer, maar slaat wel harder in."
"TID_CAPBUILD_REFLECTOR","Reflector"
"TID_CAPBUILD_REFLECTOR_INFO","Niemand verwacht een draaiend gevaarte van schilden dat elke aanval terugkaatst naar de aanvaller... Maar dat is precies wat de reflector doet."
"TID_CAPBUILD_ROCKET","Raketartillerie"
"TID_CAPBUILD_ROCKET_INFO","Slingert exploderende raketten naar lucht- en gronddoelen. Wonderlijk genoeg missen ze nooit!"
"TID_CAPBUILD_SPEAR_THROWER","Speerwerper"
"TID_CAPBUILD_SPEAR_THROWER_INFO","Gooit grote speren naar vijanden op de grond en in de lucht. Heel intimiderend."
