"Name","Level","IconSWF","IconExportName","TID","InfoTID","Deprecated","AllowedCharacters","Rarity","Claimable","DiamondValue","RequiredBlacksmithLevel","RequiredCharacterLevel","UpgradeResources","UpgradeCosts","MainAbilities","MainAbilityLevels","ExtraAbilities","ExtraAbilityLevels","Speed","HitPoints","AttackRange","AttackSpeedPercentage","DPS","PreviewScenario","HealOnActivation","StrengthWeight"
,17,,,,,,,,,,5,,"CommonOre","2040",,"6",,,,2165,,,159,,,2100
,18,,,,,,,,,,5,,"CommonOre","2160",,"7",,,,2278,,,171,,,2600
,19,,,,,,,,,,7,,"CommonOre","2280",,"7",,,,2390,,,176,,,2700
,20,,,,,,,,,,7,,"CommonOre","2400",,"7",,,,2503,,,182,,,2800
,21,,,,,,,,,,7,,"CommonOre","2520",,"8",,,,2615,,,188,,,3300
,22,,,,,,,,,,8,,"CommonOre","2640",,"8",,,,2728,,,194,,,3400
,23,,,,,,,,,,8,,"CommonOre","2760",,"8",,,,2840,,,199,,,3500
,24,,,,,,,,,,8,,"CommonOre","2880",,"9",,,,2953,,,205,,,4000
,25,,,,,,,,,,9,,"CommonOre","3000",,"9",,,,3065,,,211,,,4100
,26,,,,,,,,,,9,,"CommonOre","3120",,"9",,,,3178,,,217,,,4200
,27,,,,,,,,,,9,,,,,"10",,,,3290,,,222,,,4700
"Frozen Arrow",1,"sc/ui.sc","icon_gear_AQ_FreezeArrow","TID_GEAR_FROZEN_ARROW","TID_GEAR_INFO_FROZEN_ARROW",,"Archer Queen;","Epic",,,1,1,"CommonOre","120","ArcherQueenAttackFreeze","1",,,,,,,35,"GearFrozenArrow",,100
,2,,,,,,,,,,1,,"CommonOre","240",,"2",,,,,,,40,,,200
,3,,,,,,,,,,1,,"CommonOre","360",,"3",,,,,,,45,,,300
,4,,,,,,,,,,1,,"CommonOre","480",,"4",,,,,,,50,,,400
,5,,,,,,,,,,1,,"CommonOre","600",,"5",,,,,,,55,,,500
,6,,,,,,,,,,1,,"CommonOre","720",,"6",,,,,,,60,,,600
,7,,,,,,,,,,1,,"CommonOre","840",,"7",,,,,,,66,,,700
,8,,,,,,,,,,1,,"CommonOre","960",,"8",,,,,,,72,,,800
,9,,,,,,,,,,1,,"CommonOre","1080",,"9",,,,,,,78,,,900
,10,,,,,,,,,,1,,"CommonOre","1200",,"10",,,,,,,85,,,1000
,11,,,,,,,,,,1,,"CommonOre","1320",,"11",,,,,,,92,,,1100
,12,,,,,,,,,,1,,"CommonOre","1440",,"12",,,,,,,99,,,1200
,13,,,,,,,,,,3,,"CommonOre","1560",,"13",,,,,,,105,,,1300
,14,,,,,,,,,,3,,"CommonOre","1680",,"14",,,,,,,111,,,1400
,15,,,,,,,,,,3,,"CommonOre","1800",,"15",,,,,,,117,,,1900
,16,,,,,,,,,,5,,"CommonOre","1920",,"16",,,,,,,122,,,2000
,17,,,,,,,,,,5,,"CommonOre","2040",,"17",,,,,,,127,,,2100
,18,,,,,,,,,,5,,"CommonOre","2160",,"18",,,,,,,132,,,2600
,19,,,,,,,,,,7,,"CommonOre","2280",,"19",,,,,,,136,,,2700
,20,,,,,,,,,,7,,"CommonOre","2400",,"20",,,,,,,140,,,2800
,21,,,,,,,,,,7,,"CommonOre","2520",,"21",,,,,,,144,,,3300
,22,,,,,,,,,,8,,"CommonOre","2640",,"22",,,,,,,148,,,3400
,23,,,,,,,,,,8,,"CommonOre","2760",,"23",,,,,,,152,,,3500
,24,,,,,,,,,,8,,"CommonOre","2880",,"24",,,,,,,156,,,4000
,25,,,,,,,,,,9,,"CommonOre","3000",,"25",,,,,,,160,,,4100
,26,,,,,,,,,,9,,"CommonOre","3120",,"26",,,,,,,164,,,4200
,27,,,,,,,,,,9,,,,,"27",,,,,,,168,,,4700
"UNUSED1",1,"sc/ui.sc","icon_unit_a","TID_GEAR_TITLE_BARBARIAN_CROWN","TID_GEAR_INFO_BARBARIAN_CROWN","TRUE","Archer Queen;","Common",,,1,1,,,,,,,,,,,,,,
"Piercing Arrow",1,"sc/ui.sc","icon_gear_AQ_MagicArrow","TID_GEAR_PIERCING_ARROW","TID_GEAR_INFO_PIERCING_ARROW",,"Archer Queen;","Common",,,2,1,"CommonOre","120","ArcherQueenPierceProjectile","1",,,,80,,,20,"GearPiercingArrow",,100
,2,,,,,,,,,,2,,"CommonOre","240",,"1",,,,93,,,23,,,200
,3,,,,,,,,,,2,,"CommonOre","360",,"2",,,,106,,,27,,,300
,4,,,,,,,,,,2,,"CommonOre","480",,"2",,,,119,,,30,,,400
,5,,,,,,,,,,2,,"CommonOre","600",,"2",,,,133,,,33,,,500
,6,,,,,,,,,,2,,"CommonOre","720",,"3",,,,146,,,37,,,600
,7,,,,,,,,,,2,,"CommonOre","840",,"3",,,,159,,,40,,,700
,8,,,,,,,,,,2,,"CommonOre","960",,"3",,,,172,,,43,,,800
,9,,,,,,,,,,2,,"CommonOre","1080",,"4",,,,199,,,50,,,900
,10,,,,,,,,,,3,,"CommonOre","1200",,"4",,,,241,,,59,,,1000
,11,,,,,,,,,,3,,"CommonOre","1320",,"4",,,,284,,,68,,,1100
,12,,,,,,,,,,3,,"CommonOre","1440",,"5",,,,326,,,77,,,1200
,13,,,,,,,,,,5,,"CommonOre","1560",,"5",,,,369,,,86,,,1300
,14,,,,,,,,,,5,,"CommonOre","1680",,"5",,,,411,,,96,,,1400
,15,,,,,,,,,,5,,"CommonOre","1800",,"6",,,,454,,,105,,,1900
,16,,,,,,,,,,7,,"CommonOre","1920",,"6",,,,496,,,114,,,2000
,17,,,,,,,,,,7,,"CommonOre","2040",,"6",,,,539,,,123,,,2100
,18,,,,,,,,,,7,,,,,"7",,,,581,,,132,,,2600
"UNUSED2",1,"sc/ui.sc","icon_unit_a","TID_GEAR_TITLE_BARBARIAN_CROWN","TID_GEAR_INFO_BARBARIAN_CROWN","TRUE","Archer Queen;","Common",,,1,1,,,,,,,,,,,,,,
"UNUSED3",1,"sc/ui.sc","icon_unit_a","TID_GEAR_TITLE_BARBARIAN_CROWN","TID_GEAR_INFO_BARBARIAN_CROWN","TRUE","Archer Queen;","Common",,,1,1,,,,,,,,,,,,,,
"Healer Jar",1,"sc/ui.sc","icon_gear_AQ_HealerDoll","TID_GEAR_HEALER_JAR","TID_GEAR_INFO_HEALER_JAR",,"Archer Queen;","Common",,,5,1,"CommonOre","120","ArcherQueenSpawnHealers","1","Regeneration","1",,132,,,,"GearHealerJar",,100
,2,,,,,,,,,,5,,"CommonOre","240",,"1",,"2",,154,,,,,,200
,3,,,,,,,,,,5,,"CommonOre","360",,"2",,"3",,177,,,,,,300
,4,,,,,,,,,,5,,"CommonOre","480",,"2",,"4",,199,,,,,,400
,5,,,,,,,,,,5,,"CommonOre","600",,"2",,"5",,221,,,,,,500
,6,,,,,,,,,,5,,"CommonOre","720",,"3",,"6",,243,,,,,,600
,7,,,,,,,,,,5,,"CommonOre","840",,"3",,"7",,265,,,,,,700
,8,,,,,,,,,,5,,"CommonOre","960",,"3",,"8",,287,,,,,,800
,9,,,,,,,,,,5,,"CommonOre","1080",,"4",,"9",,331,,,,,,900
,10,,,,,,,,,,5,,"CommonOre","1200",,"4",,"10",,402,,,,,,1000
,11,,,,,,,,,,5,,"CommonOre","1320",,"4",,"11",,473,,,,,,1100
,12,,,,,,,,,,5,,"CommonOre","1440",,"5",,"12",,543,,,,,,1200
,13,,,,,,,,,,5,,"CommonOre","1560",,"5",,"13",,614,,,,,,1300
,14,,,,,,,,,,5,,"CommonOre","1680",,"5",,"14",,685,,,,,,1400
,15,,,,,,,,,,5,,"CommonOre","1800",,"6",,"15",,756,,,,,,1900
,16,,,,,,,,,,7,,"CommonOre","1920",,"6",,"16",,826,,,,,,2000
,17,,,,,,,,,,7,,"CommonOre","2040",,"6",,"17",,897,,,,,,2100
,18,,,,,,,,,,7,,,,,"7",,"18",,968,,,,,,2600
"UNUSED4",1,"sc/ui.sc","icon_unit_a","TID_GEAR_TITLE_BARBARIAN_CROWN","TID_GEAR_INFO_BARBARIAN_CROWN","TRUE","Archer Queen;","Common",,,1,1,,,,,,,,,,,,,,
"Fire in a Can",1,"sc/ui.sc","icon_gear_GW_FireSack","TID_GEAR_FIRE_IN_A_CAN","TID_GEAR_INFO_FIRE_IN_A_CAN",,"Grand Warden;","Epic",,,1,1,"CommonOre","120","GrandWardenFireball","1",,,,,,,21,"GearFireInCan",,100
,2,,,,,,,,,,1,,"CommonOre","240",,"2",,,,,,,24,,,200
,3,,,,,,,,,,1,,"CommonOre","360",,"3",,,,,,,27,,,300
,4,,,,,,,,,,1,,"CommonOre","480",,"4",,,,,,,30,,,400
,5,,,,,,,,,,1,,"CommonOre","600",,"5",,,,,,,33,,,500
,6,,,,,,,,,,1,,"CommonOre","720",,"6",,,,,,,36,,,600
,7,,,,,,,,,,1,,"CommonOre","840",,"7",,,,,,,40,,,700
,8,,,,,,,,,,1,,"CommonOre","960",,"8",,,,,,,44,,,800
,9,,,,,,,,,,1,,"CommonOre","1080",,"9",,,,,,,47,,,900
,10,,,,,,,,,,1,,"CommonOre","1200",,"10",,,,,,,51,,,1000
,11,,,,,,,,,,1,,"CommonOre","1320",,"11",,,,,,,56,,,1100
,12,,,,,,,,,,1,,"CommonOre","1440",,"12",,,,,,,60,,,1200
,13,,,,,,,,,,3,,"CommonOre","1560",,"13",,,,,,,63,,,1300
,14,,,,,,,,,,3,,"CommonOre","1680",,"14",,,,,,,67,,,1400
,15,,,,,,,,,,3,,"CommonOre","1800",,"15",,,,,,,71,,,1900
,16,,,,,,,,,,5,,"CommonOre","1920",,"16",,,,,,,74,,,2000
,17,,,,,,,,,,5,,"CommonOre","2040",,"17",,,,,,,77,,,2100
,18,,,,,,,,,,5,,"CommonOre","2160",,"18",,,,,,,80,,,2600
,19,,,,,,,,,,7,,"CommonOre","2280",,"19",,,,,,,82,,,2700
,20,,,,,,,,,,7,,"CommonOre","2400",,"20",,,,,,,84,,,2800
,21,,,,,,,,,,7,,"CommonOre","2520",,"21",,,,,,,87,,,3300
,22,,,,,,,,,,8,,"CommonOre","2640",,"22",,,,,,,89,,,3400
,23,,,,,,,,,,8,,"CommonOre","2760",,"23",,,,,,,92,,,3500
,24,,,,,,,,,,8,,"CommonOre","2880",,"24",,,,,,,94,,,4000
,25,,,,,,,,,,9,,"CommonOre","3000",,"25",,,,,,,96,,,4100
,26,,,,,,,,,,9,,"CommonOre","3120",,"26",,,,,,,99,,,4200
,27,,,,,,,,,,9,,,,,"27",,,,,,,101,,,4700
"UNUSED5",1,"sc/ui.sc","icon_unit_a","TID_GEAR_TITLE_BARBARIAN_CROWN","TID_GEAR_INFO_BARBARIAN_CROWN","TRUE","Grand Warden;","Common",,,1,1,,,,,,,,,,,,,,
"Angry Tome",1,"sc/ui.sc","icon_gear_GW_RageGem","TID_GEAR_ANGRY_TOME","TID_GEAR_INFO_ANGRY_TOME",,"Grand Warden;","Common",,,4,1,"CommonOre","120","GrandWardenRageAura","1",,,,,,5,12,"GearAngryTome",,100
,2,,,,,,,,,,4,,"CommonOre","240",,"1",,,,,,6,14,,,200
,3,,,,,,,,,,4,,"CommonOre","360",,"2",,,,,,7,16,,,300
,4,,,,,,,,,,4,,"CommonOre","480",,"2",,,,,,8,18,,,400
,5,,,,,,,,,,4,,"CommonOre","600",,"2",,,,,,9,20,,,500
,6,,,,,,,,,,4,,"CommonOre","720",,"3",,,,,,10,22,,,600
,7,,,,,,,,,,4,,"CommonOre","840",,"3",,,,,,11,24,,,700
,8,,,,,,,,,,4,,"CommonOre","960",,"3",,,,,,12,26,,,800
,9,,,,,,,,,,4,,"CommonOre","1080",,"4",,,,,,13,30,,,900
,10,,,,,,,,,,4,,"CommonOre","1200",,"4",,,,,,14,36,,,1000
,11,,,,,,,,,,4,,"CommonOre","1320",,"4",,,,,,15,43,,,1100
,12,,,,,,,,,,4,,"CommonOre","1440",,"5",,,,,,16,49,,,1200
,13,,,,,,,,,,5,,"CommonOre","1560",,"5",,,,,,17,56,,,1300
,14,,,,,,,,,,5,,"CommonOre","1680",,"5",,,,,,18,62,,,1400
,15,,,,,,,,,,5,,"CommonOre","1800",,"6",,,,,,19,69,,,1900
,16,,,,,,,,,,7,,"CommonOre","1920",,"6",,,,,,20,75,,,2000
,17,,,,,,,,,,7,,"CommonOre","2040",,"6",,,,,,21,82,,,2100
,18,,,,,,,,,,7,,,,,"7",,,,,,22,88,,,2600
"UNUSED6",1,"sc/ui.sc","icon_unit_a","TID_GEAR_TITLE_BARBARIAN_CROWN","TID_GEAR_INFO_BARBARIAN_CROWN","TRUE","Grand Warden;","Common",,,1,1,,,,,,,,,,,,,,
"UNUSED7",1,"sc/ui.sc","icon_unit_a","TID_GEAR_TITLE_BARBARIAN_CROWN","TID_GEAR_INFO_BARBARIAN_CROWN","TRUE","Grand Warden;","Common",,,1,1,,,,,,,,,,,,,,
"UNUSED8",1,"sc/ui.sc","icon_unit_a","TID_GEAR_TITLE_BARBARIAN_CROWN","TID_GEAR_INFO_BARBARIAN_CROWN","TRUE","Grand Warden;","Common",,,1,1,,,,,,,,,,,,,,
"UNUSED9",1,"sc/ui.sc","icon_unit_a","TID_GEAR_TITLE_BARBARIAN_CROWN","TID_GEAR_INFO_BARBARIAN_CROWN","TRUE","Warrior Princess;","Common",,,1,1,,,,,,,,,,,,,,
"UNUSED10",1,"sc/ui.sc","icon_unit_a","TID_GEAR_TITLE_BARBARIAN_CROWN","TID_GEAR_INFO_BARBARIAN_CROWN","TRUE","Warrior Princess;","Common",,,1,1,,,,,,,,,,,,,,
"UNUSED11",1,"sc/ui.sc","icon_unit_a","TID_GEAR_HOG_TOTEM","TID_GEAR_INFO_HOG_TOTEM","TRUE","Warrior Princess;","Common",,,7,1,"CommonOre","120","RCEquipSpawnHogs","1",,,,,,5,,,150,
"UNUSED12",1,"sc/ui.sc","icon_unit_a","TID_GEAR_TITLE_BARBARIAN_CROWN","TID_GEAR_INFO_BARBARIAN_CROWN","TRUE","Warrior Princess;","Common",,,1,1,,,,,,,,,,,,,,
"UNUSED13",1,"sc/ui.sc","icon_unit_a","TID_GEAR_TITLE_BARBARIAN_CROWN","TID_GEAR_INFO_BARBARIAN_CROWN","TRUE","Barbarian King;","Epic",,,1,1,,,"BarbarianKingSpawnOnTakeDamage","1",,,,,,,,,,
"UNUSED14",1,"sc/ui.sc","icon_unit_a","TID_GEAR_TITLE_BARBARIAN_CROWN","TID_GEAR_INFO_BARBARIAN_CROWN","TRUE","Warrior Princess;","Common",,,6,1,,,"RoyalChampionElectrifiedShield","1",,,,,,,,,,
"Healing Tome",1,"sc/ui.sc","icon_gear_GW_HeartTome","TID_GEAR_HEALING_TOME","TID_GEAR_INFO_HEALING_TOME",,"Grand Warden;","Common",,,6,1,"CommonOre","120","GrandWardenHealAura","1",,,,92,,,,"GearHealingTome",165,100
,2,,,,,,,,,,6,,"CommonOre","240",,"1",,,,107,,,,,193,200
,3,,,,,,,,,,6,,"CommonOre","360",,"2",,,,122,,,,,220,300
,4,,,,,,,,,,6,,"CommonOre","480",,"2",,,,137,,,,,248,400
,5,,,,,,,,,,6,,"CommonOre","600",,"2",,,,153,,,,,275,500
,6,,,,,,,,,,6,,"CommonOre","720",,"3",,,,168,,,,,303,600
,7,,,,,,,,,,6,,"CommonOre","840",,"3",,,,183,,,,,330,700
,8,,,,,,,,,,6,,"CommonOre","960",,"3",,,,198,,,,,358,800
,9,,,,,,,,,,6,,"CommonOre","1080",,"4",,,,229,,,,,413,900
,10,,,,,,,,,,6,,"CommonOre","1200",,"4",,,,280,,,,,463,1000
,11,,,,,,,,,,6,,"CommonOre","1320",,"4",,,,330,,,,,513,1100
,12,,,,,,,,,,6,,"CommonOre","1440",,"5",,,,381,,,,,563,1200
,13,,,,,,,,,,6,,"CommonOre","1560",,"5",,,,432,,,,,613,1300
,14,,,,,,,,,,6,,"CommonOre","1680",,"5",,,,482,,,,,663,1400
,15,,,,,,,,,,6,,"CommonOre","1800",,"6",,,,533,,,,,713,1900
,16,,,,,,,,,,7,,"CommonOre","1920",,"6",,,,584,,,,,763,2000
,17,,,,,,,,,,7,,"CommonOre","2040",,"6",,,,634,,,,,813,2100
,18,,,,,,,,,,7,,,,,"7",,,,685,,,,,863,2600
"UNUSED15",1,"sc/ui.sc","icon_unit_a","TID_GEAR_TITLE_BARBARIAN_CROWN","TID_GEAR_INFO_BARBARIAN_CROWN","TRUE","Archer Queen;","Common",,,1,1,,,,,,,,,,,,,,
"UNUSED16",1,"sc/ui.sc","icon_unit_a","TID_GEAR_TITLE_BARBARIAN_CROWN","TID_GEAR_INFO_BARBARIAN_CROWN","TRUE","Archer Queen;","Common",,,1,1,,,,,,,,,,,,,,
"UNUSED17",1,"sc/ui.sc","icon_unit_a","TID_GEAR_TITLE_BARBARIAN_CROWN","TID_GEAR_INFO_BARBARIAN_CROWN","TRUE","Archer Queen;","Common",,,1,1,,,,,,,,,,,,,,
"UNUSED18",1,"sc/ui.sc","icon_unit_a","TID_GEAR_TITLE_BARBARIAN_CROWN","TID_GEAR_INFO_BARBARIAN_CROWN","TRUE","Archer Queen;","Common",,,1,1,,,,,,,,,,,,,,
"UNUSED19",1,"sc/ui.sc","icon_unit_a","TID_GEAR_TITLE_BARBARIAN_CROWN","TID_GEAR_INFO_BARBARIAN_CROWN","TRUE","Archer Queen;","Common",,,1,1,,,,,,,,,,,,,,
